_id,corpusid,venue,par_id,text,wc,corpusid_unique,is_data_availability
648a473a1b9b678478cc69c1,255522630,The astrophysical journal,58,"• A high detection significance for a particular chemical species does not indicate that its abundance is constrained accurately . For instance , retrieving on JWST / NIRSpec PRISM observations obtained with the Tiberius pipeline leads to a ∼25σ detection significance . However , on supplementing these observations with HST / WFC3 G141 and G102 data , the retrieved mixing ratio estimate is 1 dex higher , as the retrieval finds a different spectral baseline .",76,253570307_44,
648a61771b9b6784788046e5,8847626,Journal of High Energy Physics,62,"The interior metric is CAdS in coordinates sec 2 ρ = 1 + r 2 and we have set the AdS scale R to 1 . The induced metrics match on the surface r = r b . This metric is not expected to be a solution to string theory , and initial data corresponding to such a geometry would certainly evolve with time . Nevertheless , any string solution containing a metastable AdS bubble will share certain features of scalar field propagation that we now study .",88,208225029_10,
648a475a1b9b678478cd087b,229426053,Journal of Cleaner Production,1,"Production environments are currently undergoing a transformation induced by the fourth industrial revolution , which adds complexity but also opportunities for sustainable manufacturing . In fact , production systems are transitioning to cyber - physical production systems ( CPPS ) , where the virtual and physical worlds converge ( Monostori , 2014 ) and the value of data is harnessed to achieve desired goals . However , as Tao et al . ( 2018 ) pointed out , the lack of convergence between the virtual and the physical worlds leads "" to low level of efficiency , intelligence , sustainability in product design , manufacturing , and service phases "" . Approaches , technologies and methods are therefore needed to reconcile these two worlds and support relevant strategic goals for the manufacturing industry , sustainability included . For this to happen , "" soft aspects "" at a company or corporate scale come into play when change is introduced in a system , such as competences and capabilities . In the 1990s , management scholars Teece and Pisano ( 2003 ) noted the time dimension of competences and capabilities , as they highlighted the importance of management capability to effectively adapt to changing environments by "" re - configuring internal and external organisational skills and resources "" . These components of responsiveness and adaptation are core parts of the sustainability management field . For example , Dangelico et al . ( 2017 ) built a framework for green product innovation in the manufacturing industry by using sustainabilityoriented dynamic capabilities as theoretical foundations , highlighting the value of a capability - based approach in the pursuit of sustainability - oriented changes .",281,230820946_18,
648a44881b9b678478bbdd45,207898971,Nature Medicine,48,"Whole - genome sequencing ( WGS ) and a Genomizer analysis ( v 10.1.0 ) were used to conduct a comprehensive and unbiased ranking of other potential genetic risk modifiers , including those associated with a lower risk of Alzheimer 's dementia , helping to exclude other potentially protective genetic factors 10 . For processing the WGS data , the same dragen pipeline described above was used . The data was aligned to the GRCh37 decoy genome ( hs37d5 ) . Variants that were called at a depth of < 10X were filtered out and then were annotated using Ensembl 's Variant Effect Predictor ( VEP ) tool . The version of VEP using was v93 . The filtered and annotated set of variants was then compiled for Genomizer analysis . Further information can be found in the Life Sciences Reporting Summary .",143,245338204_12,
648a31c51b9b6784785f1a61,234772092,Social Science & Medicine,69,"The presented data was collected as part of a larger project , but only the parts of the questionnaire that are of interest for this study 's research questions were included . The relevant questionnaire sections for this article can be found in Supplement D Questionnaire . The questionnaire comprised other sections that focused on consumer behaviour during the lockdown ( e.g. , acceptance of hoarding food and consumer goods , perception of food security ) . The study was approved by the Ethics Commission of the Federal Institute of Technology ( ETH Zurich ) .",96,236219670_41,
648a61771b9b67847880dd56,10285352,Journal of High Energy Physics,21,"From eq . ( 11 ) it is easy to estimate the typical ranges of parameters , for which the model can explain current neutrino data . In case of normal hierarchy , a large atmospheric angle requires ω µµ ≃ −ω µτ ≃ ω τ τ . Thus , we find the constraint",54,253479519_12,
648a446f1b9b678478bb9f7c,49294667,Science of The Total Environment,30,"The three week wet run ( top ) and flood run ( bottom ) were selected for analysis because the highest average concentration of dissolved Pb was observed for the 3wwet run at the top of the mesocosm ( 21.5 ± 2.9 mg L −1 ) , ( 10 ± 2.1 mg L −1 ) and the lowest average concentration was observed for the constant flood run at the bottom ( 10.8 ± 2 mg L −1 ) , ( 3.8 ± 0.3 mg L −1 ) ( Tables 2 and 3 ) . Mineral phases and SI 's were calculated from input data ( Table A1 ) and are listed ( Table 4 ) .",116,3174407_4,
648a60bd1b9b67847879ada9,52316731,Nucleic Acids Research,17,"To further demonstrate the performance of psRNATarget in analyzing miRNA - mRNA interactions in non - Arabidopsis species , we analyzed another benchmark dataset , referred to as rice miRNA - mRNA interaction data , which was collected from the supplemental data ( the additional file 8) of the paper published by Srivastava et al . ( 8) . The new psRNATarget was able to recall much more validated miRNA - mRNA interactions without significantly increasing the total predictions when searching the same rice miRNAs in the rice miRNA - mRNA interaction data against the same rice transcript library , JGI rice Phytozome 12 genome annotation . Specifically , the recall rate was estimated at 82.7 % by the psRNATarget * The comparison was performed between 65 unique miRNAs / ta - siRNAs in the benchmark dataset ( Supplementary Table S1 ) and the Arabidopsis TAIR10 transcripts . Maximum expectation was set to 5.0 and the maximum number of allowed top targets for each miRNA was set to 200 for both scoring schemas . 2017 release compared with the 62.5 % recall rate by the psRNATarget 2011 release ( Table 2 ) , validating the new psRNATarget 's improved performance in analyzing both Arabidopsis and non - Arabidopsis miRNA - mRNA interactions . Using our Arabidopsis benchmark dataset , prediction performances were also compared between the new psR - NATarget and the standalone pipeline , TargetFinder ( 19 ) . Both applications delivered similar ' recall rate ' and total predictions when we chose to balance the ' recall rate ' and precision through adjusting score cutoff ( Supplementary   Table S3 ) . However , if we chose to maximize ' recall rate ' to cover more validated interactions , the new psRNATarget will recall slightly more validated interactions and report much less total predictions , which in turn indicate much higher precision ( Supplementary Table S3 ) . We further compared performances between new psRNATarget and the TAPIR ( 20 ) using its fast mode since the hybrid mode stringently restricts the size of data that can be analyzed each time due to slow computational speed of the algorithm . We noticed that ' recall rate ' of TAPIR is significantly lower than the other two applications even after we adjusted the cutoff thresholds to maximize the ' recall rate . ' However , TAPIR generated much less predictions than the psRNATarget 2017 release and TargetFinder did , indicating higher prediction precision ( Supplementary Table S3 ) .",421,255441206_401,
648a473a1b9b678478cc4c2d,119201283,The astrophysical journal,7,"To create the raw white light curve , we summed each spectrum over the 181 pixels in the spectral trace . The white light curve has systematic trends that are typical for WFC3 observations ( Zhou et al . 2017 ): the flux increases asymptotically over each orbit ( the "" ramp "" effect ) and there is a visit - long linear trend . The largest ramp occurs in the initial orbit ( orbit zero ) , so we only fit data from orbits one through four in our analysis , following common practice . We fit the light curve with the analytic model of the form F white ( t ) = S white ( t)×T white ( t ) , where S white is a systematics model and T white is a transit model . We used the same systematics model as Kreidberg et al . ( 2015 ) . We modelled the transit with the batman package ( Kreidberg 2015 ) . The model parameters are the orbital period p , time of inferior conjunction t 0 , transit depth r p /r s , ratio of semi - major axis to stellar radius a / r s , orbital inclination i , and the quadratic stellar limb darkening parameters u 1 and u 2 .",220,240249454_45,
648a4fb11b9b678478f7e247,15370378,International Conference on Learning Representations,236,"In speech recognition applications it is sometimes necessary to process data continuously as it arrives , so that there will be no latency in response . This makes it necessary that the algorithms used should not have any dependencies that are "" backwards "" in time .",47,46924_8,
648a39ff1b9b6784788b0fba,17220756,Angewandte Chemie,39,"MDM2 and MDMX ( also known as MDM4 and HDM4/ HDMX ) downregulate the tumor suppressor p53 . In response to cellular stress , the transcription factor p53 mediates the expression of genes involved in protective processes such as DNA repair , cell cycle arrest , and apoptosis . [ 343,344 ] Binding of MDM2 and MDMX to the N - terminal transactivation domain of p53 blocks this so - called "" guardian of the genome "" , either by mediating its ubiquitylation that finally leads to its degradation by the proteasome [ 345 ] or by acting as a direct antagonist . [ 346 ] An upregulation of MDM2 and MDMX has been detected in many types of cancers , thus resulting in the interaction between these proteins and p53 being prime targets for anticancer strategies . Crystal structures of the complex between MDM2 and the transactivation domain of p53 reveal an a - helical conformation of the p53 interaction domain when bound to MDM2 ( Figure 16 a ) . [ 347 ] P53 hot - spot residues involve Phe19 , Trp23 , and Leu26 . [ 347 ] This structural information together with the crystallographic data of the similarly arranged p53 - MDMX complex [ 348 ] have been used as the starting point for a rational design of the corresponding PPI inhibitors . For some peptidomimetics , helical peptides derived from phage - display selections served as alternative starting points . Examples include the phagedisplay - derived peptides pDi [ 349 ] and PMI [ 350 ] that exhibit dual inhibitory effects for both the p53 - MDM2 and p53 - MDMX complexes . This is considered a desirable feature for efficient anticancer activity . Additionally , mirror - image phage - display ( MIPD ) techniques together with native chemical ligation have provided proteolytically more - resistant d - peptide inhibitors of the p53 - MDM2 interaction . However , these peptides do not feature sufficient cell permeability . [ 351][352][353 ] Finally , although mRNA display has enabled the screening of larger libraries of peptides , [ 354 ] the proteolytic instability and/or poor cellular uptake of these peptides remain major limitations of these approaches .",372,6826929_12,
648a61781b9b67847883c89d,14226229,Journal of High Energy Physics,28,"showing that in this limit the numerics are under control . For the rescaled equation ( eq.14 ) we can study the lowest mass meson as a function of the quark mass . Figure 3 shows the value of the first meson mass as a function of the quark mass . The important point to note here is that there appears to be a mass gap in the m → 0 limit for l = 0 . The numerics make this calculation difficult , though at m = 10 −10 the value of M 1 is 0.28 . Note that in contrast to the equation of motion with l = 0 , the D7 - brane equation is perfectly well behaved in this limit and has discrete eigenvalues . This will be shown analytically in section 4.2 . The scale is set by the AdS radius R which can be tuned by hand to compare with lattice data .",159,232405275_30,
648a446f1b9b678478bb3206,245007358,Science of The Total Environment,42,"RNA concentration , could allow description of "" the real dynamic "" of the virus spreading into the population , allowing for a direct comparison between the three waves . Our data showed that in the Greater Paris area , the first wave showed more highly concentrated samples ( i.e. samples with about 1 million UG / L ) than the 2nd and 3rd waves ( see Fig . 3 ) . Quantitative assessment of SARS - CoV-2 genomes in wastewaters demonstrates the impact of prevention measures such as lockdown or curfew which can Fig . 4 . Relationship between log of the concentration of SARS - CoV-2 genome and the log number of incidence number . Panel A regional scale , in blue average of the 5 WWTP , in red Lowess of the same data . Panel B , in blue SEM WWTP , in red MAV . panel C relationship between SEV and departmental incidence number . Panel D relation between STV and the departmental incidence number panel E , relationship for SEC and Paris incidence panel F , linear regression of all WWTP and the regional average . be once again observed in this project . Some general modeling papers have postulated the decrease of the wave intensity   in accordance with our data .",220,236959486_10,
648a42861b9b6784789b37d2,199572965,International Journal of Molecular Sciences,9,"To address a potential diagnostic value of miR-574 - 5p , we measured its expression in serum samples from TAA patients and controls ( serum cohort ) . Interestingly , miR-574 - 5p was significantly up - regulated in the serum of patients with TAA compared to the control ( 3 - fold , p < 0.001 ; Figure 2D ) and this up - regulation was higher in patients with a large ( above 49 mm ) aneurysm ( Figure 2E ) . Of note , the cut - off of 49 mm corresponds to the median of the aortic diameter of the TAA group . Circulating levels of miR-574 - 5p are up - regulated in patients suffering TAA independently of the etiology of TAA , compared to the controls ( Figure S3 ) , and miR-574 - 5p levels were not significantly modulated by hyperlipidaemia or the smoking status , either in the control or in the TAA groups ( Figure S4 ) . The ROC ( receiver operating characteristic ) curve analysis revealed an association between miR-574 - 5p and the diagnostic of TAA with an area under the curve of 0.87 ( Figure 2F ) . MiR-574 - 5p discriminated the TAA patients from the controls with a specificity of 85 % and a sensitivity of 78.6 % . These data support a diagnostic potential of miR-574 - 5p for TAA .",237,245152636_7,
648a39ff1b9b6784788aff6a,235074277,Angewandte Chemie,7,"To a DCM ( 20 mL ) solution of 4 ( 1.0 g , 0.87 mmol ) was added Me3SiOTf ( 0.35 mL , 1.94 mmol ) at rt and stirred for 2 h. The solvent was evaporated and the crude product was suspended in toluene , filtered , and dried under vacuum to afford 7 ( 1.13 g , 90 % ) . NMR spectroscopic data of this product were identical to that prepared by using 6 and ( Me3S)AuCl ( see above ) .",86,15116130_151,
648a473a1b9b678478cc6ce9,234763037,The astrophysical journal,9,"We determine the ephemeris by measuring the mideclipse time from the CHIMERA g lightcurve . We then use the best model from the Chimera g data and use it fit all ZTF data . In addition , we noticed that there is one non - detection on 2012 - 11 - 1 in Palomar Transient Factory data ( out of 94 observations ) . We add this epoch with half the eclipse duration as uncertainty as a prior ( BJD T DB = 2456232.8854 ± 0.0018 ) . This results in an ephemeris of : BJD(T DB ) = 2459045.985194(2 ) + 0.431 920 8 ( 14 ) ( 1 )",111,10491493_25,
648a39ff1b9b6784788b00b0,24006393,Angewandte Chemie,2,"To a solution of 2,2 - dimethylpropan-1 - amine ( 0.60 mL , 0.44 g , 4.9 mmol ) in dry DMF ( 50 mL ) was added 6methyl-2-(bromomethyl)-pyridine 1 ( 2.00 g , 10.8 mmol ) and K 2 CO 3 ( 1.49 g , 10.8 mmol ) . The solution was stirred at 40 ° C for 16 h. The organic component was extracted into CH 2 Cl 2 ( 3 × 40 mL ) , the extract dried over MgSO 4 , filtered and the solvent was removed under reduced pressure . The product was purified using silica gel chromatography ( Hexane : EtOAc -10:1 ) to yield 1.28 g of L5 as a pale yellow solid ( 88 % ) .    Titration data and speciation curves of L2 and Zn complex 2 . Figure S3 . left : titration of 10 mL of 2 mM L2 and 4 mM HCl with 10 µL aliquots of 0.2 mM NaOH ; right : speciation diagram of 1mM L2 . The theoretical fit and speciation were carried out with Hyperquad and HySS software 3 and gave pK a s of 3.85 and 6.99 . Figure S4 . left : titration of 10 mL of 2 mM Zn complex 2 and 4 mM HCl with 10 µL aliquots of 0.2 mM NaOH ; right : speciation diagram of 1 mM 2 . The theoretical fit and speciation were carried out with Hyperquad and HySS software 3 using formation constants for Zn(OH ) ( 10 -7.84 ) and Zn(OH ) 2 ( 10 -16.86 ) taken from literature . 4 The fit gives pK a s for the Zn complex 2 of 7.84 and 9.02 , and log K d as 4.85 .   Observed rate constants ( k obs ) were obtained by the initial rate method over the first 30 minutes of the reaction . Equation S1 is derived from Scheme S1 , and fitted to the data in Tables S1 to S8 to give the values of k 2 used in Figure S5 .",350,239658990_2,
648a44881b9b678478bbf735,13330925,Nature Medicine,7,"We next investigated the downstream signaling pathways through which TLR2 induced Raldh2 expression . TLR2 stimulates rapid induction of ERK , which mediates IL-10 production by DCs16,18,23 . Induction of Raldh2 mRNA expression was largely abrogated by inhibitors against ERK ( Fig . 1h ) . Additionally DCs from Erk1 −/− mice had substantially reduced Raldh2 expression upon zymosan stimulation ( data not shown ) . Furthermore , induction of Raldh2 was also inhibited substantially by a syk inhibitor ( data not shown ) . Thus , Raldh2 induction by zymosan is syk - dependent , but largely dectin-1 independent , suggesting that an alternative syk - dependent receptor is likely involved . In summary therefore , zymosan induces Raldh2 expression in DCs via TLR2 - mediated activation of ERK , likely acting in concert with syk - dependent signaling via another receptor .",144,255566589_14,
648a39ff1b9b6784788b348f,231766706,Angewandte Chemie,15,"Finally , t he biomimetic tetranuclear [ MoFe 3 S 4 ] 2 + and [ Fe 4 S 4 ] 2 + and the MoFep rotein of nitrogenase were studied ( Figure 6C ) . All samples contain Fe II , a nd the resonant excitation into the pre - edge yields two distinct features split by~0.9 - 1.3 eV at their maxima due to the additional 5 Dterm discussed above . Once again , inspection of the D RXES and D XES highlights the ability of 1s3p RXES at the pre - edge region to identify the presence of ferrous iron , which is not possible using the Kb XES spectra alone . Future studies including 1s3p RXES full planes collected with higher resolution instruments may allow for amore rigorous quantification of the changes in electronic structure , e nabling better distinction between the different intermediate states . N evertheless , t hese results demonstrate that even in highly covalent systems , meaningful differences in 3d metal valencypersist in the 1s3p RXES data .",176,218879796_62,
648a4fb11b9b678478f7f3c0,52891543,International Conference on Learning Representations,22,"The proposed TD method is the first data - specific metric to detect adversarial audio , which focuses on how many adversarial instances are captured ( true positive ) without affecting benign instances ( false positive ) . Therefore , we report the area under curve ( AUC ) score to evaluate the detection efficiency . For the proposed TD method , we compare the temporal dependency based on WER , CER , as well as the longest common prefix ( LCP ) . LCP is a commonly used metric to evaluate the similarity between two strings . Given strings s 1 and s 2 , the corresponding LCP is defined as max s1[:k]=s2[:k ] k , where [: k ] represents the first k portion of a sentence .",130,58666210_33,
648a4fb11b9b678478f7c2e4,15534684,International Conference on Learning Representations,22,"Even though the information preference property of VAE might suggest that one should always use the full autoregressive models to achieve a better code length / log - likelihood , especially when slow data generation is not a concern , we argue that this information preference property can be exploited to turn the VAE into a powerful representation learning method that gives us fine - grained control over the kind of information that gets included in the learned representation .",80,118885409_60,
648a4abe1b9b678478e00147,32617523,BMJ,0,"Progress in achieving the millennium development goals has been substantive but uneven , with its equity , effectiveness , and sustainability being often undermined by lack of integration into national health systems . Even where efforts have been made to embed services at the community level , such as in the roll - out of integrated community case management of childhood illness programmes , a lack of full integration and stewardship by national health systems has hindered service use and sustainability . 8 Disease specific approaches often fail to tackle the delivery of services for other diseases or to sustainably strengthen common delivery platforms . 9 Despite both methodological and data limitations in the evidence , 10 there are clear indications that working towards integrated service delivery can improve healthcare use and outcomes . 11 The desire for focus on specific conditions is understandable , but efforts need to be aligned with and steered by national health systems and must be accompanied by deliberate attempts to create synergies with other priorities of the health system .",176,231573178_20,
648a47591b9b678478cce945,252843568,Journal of Cleaner Production,10,Each test was repeated at least three times in the present work . The data were presented as the means ± standard deviations . Statistical analysis was performed using one - way analysis of variance .,36,5787316_12,
648a617b1b9b678478889e7e,623450,Journal of High Energy Physics,28,"are in better agreement with the data . Note that while the Tevatron bounds are somewhat sensitive to the assumption that all the SM fermions are localized close to the Planck brane due to possible variations in the width of the W 2 and Z 2 , this is not true for those from LEP .",56,235190802_7,
