text	corpusid	sentiment
To analyse global costs of invasive crustaceans , we used data from the InvaCost database , which primarily presents costs from sources written in English , and sources from 16 additional languages ( Angulo et al . , 2020 . InvaCost captures cost data resulting from both systematic searches of the Web of Science , Google Scholar and Google search engine , and opportunistic contacts with experts and stakeholders . Each recorded cost entry was characterised by various descriptors as described by Diagne et al . ( 2020 ) and in the online database repository ( https://doi.org/10.6084/m9.figshare.12668570 ) . InvaCost is a dynamic database that allows new cost entries to be corrected and added as they develop or are reported over time . The current version of InvaCost includes 13,123 cost entries ( i.e. reported economic costs , or rows of data ) of invasive alien species extracted from published peer - reviewed and grey literature ( InvaCost version 4.0 ; as of June 2021 ) . Although there may be costs that we have not captured ( e.g. , unpublished or outside the search languages ) , InvaCost is the most up - to - date compilation of invasion costs and therefore the best tool available to draw parallels with the current stateof - the - art in cost reporting and associated knowledge gaps . However , the results may change with future research and as monetary cost data become available for different species , countries , sectors , and other factors .	245553758	yes
Data sources . Almost all residents in Scotland are registered with a general practice and have a unique Community Health Index ( CHI ) number used by NHS Scotland . We used the CHI number to deterministically link all datasets with vaccination records in Public Health Scotland ( Extended Data Fig . 4 ) . Vaccination information was extracted from the general practice records and the Turas Vaccination Management Tool system ; together , these captured all vaccination records , including those vaccinated in general practices , community vaccination hubs and other settings , such as care homes and hospitals in Scotland 40 . Further details on the data sources used in this study are available in a published project protocol 24 .	235393684	yes
All data and complete replication code for this aggregate - level study will be shared immediately following publication , with no end date , for public access and replication . Data are available indefinitely on the Harvard Dataverse at https://doi.org/10.7910/DVN/JTTNKO .	236321831	yes
Supplementary data to this article can be found online at https://doi . org/10.1016 / j.scitotenv.2022.155580 .	248434895	yes
The sample selection , observing strategy , reduction , and properties of the full 74 galaxies in PHANGS - ALMA survey is presented in A. K. Leroy et al . ( in preparation ) . Here , we use the first data sets , including three literature maps , where the CO surface brightness and line - width have been calculated by Sun et al . ( 2018 ) . See that paper for a detailed presentation of masking , map construction , and completeness .	119343853	yes
Data Availability Statement : All supporting data generated for this manuscript are freely available here together with a short commentary : https://zenodo.org/record/4541573#.YCrckWj0lPY ( accessed on 7 July 2021 ) .	236209619	yes
Generating the sequence using a preferential attachment based model . We apply a preferential attachment based model to generated topic tuple sequences with power - law distributed usage of each topic tuple [ 32,37,38 ] . In the model , an individual 's activity is randomly chosen from the two actions . One is to explore a new subject and publish a paper with a new topic tuple . The other is to return to a previously studied subject and publish a paper with a topic tuple already used . The probability to explore is defined as ρn −γ in which the term n −γ captures the decreasing trend to explore a new subject as the number of papers increases . Consequently the probability of return , i.e. to reuse an old topic tuple , is 1 − ρn −γ . If one returns , the choice of existing topic tuples is governed by preferential attachment : the probability p i to use a specific topic tuple i is proportional to the tuple i 's current usage , so p i = n i / j n j where n i is the number of times that the tuple i is used . The parameters applied are ρ = 0.4 and γ = 0.1 . Each individual 's time step is controlled by the number of papers published , following distribution P ( n ) ∼ n −1.5 with a cutoff n max = 150 . These variables make the sequence generated similar to those in real data . We generate totally 20,000 independent sequences , a comparable number to the size of real data . See Supplementary Discussion 4 for more about the preferential attachment based model . Data availability . The Physical Review dataset is available upon requested from the APS at http://journals.aps.org/datasets . The name disambiguation procedure and the associated data are described in Ref . [ 6,43 ] .	6911864	yes
The ubiquitination profile of Tau4RD protein obtained in ubiquitination assays in the presence or absence of full - length HSc70 was obtained by mass analysis of protein fragments after trypsin digestion . SDS - PAGE bands corresponding to ubiquitinated Tau were excised and subjected to reduction with TCEP , alkylation with methyl methanethiosulfonate ( MMTS ) , and in - gel trypsin digestion . LC - MS / MS analysis was carried out using a nano- Gly - Gly modification of lysine residues ( indicative of a ubiquitination site ) and the oxidation of methionine residues were set as variable modifications , while methylthio - cysteine was set as fixed modification . Data were filtered using a False Discovery Rate ≤ 0.01 both at the protein and peptide level . The results of the MS analysis are reported in MS_ubTau_minusHSC70.xlsx and MS_ubTau_plusHSC70.xlsx files . Due to the partially stochastic nature of the data dependent acquisition mode applied in the analysis , there is the possibility that some of the ubiquitination sites identified in Tau protein ubiquitinated either in the presence or absence of Hsc70 might be missing in the other sample simply because the parent ion was not selected for fragmentation or because MS / MS spectra were of too low quality to pass the filtering criteria . To consider this possibility the extracted ion chromatograms relative to the ubiquitinated peptides that were identified in only one sample ( incubated with or without Hsc70 ) were used to assess the presence / absence of the same modified peptides in the other sample ( supplementary_MSdata ) .	246475137	yes
In this paper , we have applied data from various sources . A detailed list of the variables , their definitions and sources is provided in Table 1 . Our dataset , including daily price indices , daily trading volumes and the daily CBOE VIX index cover the period 1 July 2019 to 14 August 2020 . We have collected these capital market , resilience and macroeconomic data for 34 economies based on the data availability and comprehensiveness of the market . A description of our sample by country is presented in Table 2 . There are an equal number of observations for each country and thus we have a balanced panel .	233547943	yes
The QC report is generated by MultiQC [ 47 ] , by aggregating data from multiple sources within the pipeline , and in particular FastQC ( https://www.bioinformatics.babraham.ac . uk / projects / fastqc/ accessed on 24 October 2022 ) , statistics generated by samtools [ 45 ] , bamtools stats ( https://github.com/pezmaster31/bamtools accessed on 24 October 2022 ) , and Qualimap [ 48 ] .	253162526	yes
The data that support the findings of this study are available from the corresponding author upon reasonable request .	71143628	yes
To strengthen the stability and validity of findings , using the NCapture facility of Nvivo pro software , we extracted 20,000 Facebook and Twitter posts from January to May 2020 that used the most frequent hashtags , according to Ipsos.com . ( 2020 ) . These hashtags are # wuhanvirus # coronavirus , # covid19 , # quarantine , # lockdown , # stayathome , # stayhomesavelives , # workingfromhome . Following recommendations for netnographic studies , it was deemed appropriate to copy publicly shared archival data comprising all posts for this period and then filter this for relevance ( Kozinets , 2010 ) . Publicly communicated online messages are open to researchers , and , legally , it is the user 's responsibility to identify what information to share publicly on social media ( Kozinets , 2010;Langer , Elliott , & Beckman , 2005 ) . Accordingly , only public posts in English were included , also to avoid redundancy , a filtration option of NVivo automatically excluded all retweeted posts . The research focuses on individual users , not firms , organizations , governments , sponsored ads , or ads ; accordingly , ads , businesses , governments , and organizations ' posts were manually excluded . Hence , we proceeded with 4000 relevant Facebook ( 800 ) and Twitter ( 3200 ) posts for analysis .	237721938	yes
We used deep - sequencing data from three different experiments : ( i ) the combined C. elegans data ( accession no . GSE6282 and GSE5990 from GEO database at NCBI ) , which have been used also in ( 7 ) with a total of 205 575 unique reads , ( ii ) data from human HeLa cells ( 7 ) with accession no . GSE10829 and 319 939 unique reads and ( iii ) data from rat hepatocytes generated in our lab , available on our website ( http://web.bioinformatics.cic biogune.es/microRNA/defaultReads.txt ) with 22 086 unique reads .	9529333	yes
The following section will give an overview of in vitro data obtained so far on the effects of various polyphenols on main viral protein targets . Obtained in vitro IC 50 values for different polyphenols against 3CL pro and PL pro are given in Table 2 .	244369410	yes
The lagged solar wind conditions governing the cases under study are given in the last three columns of Table 1 , which have been calculated using the omnidirectional ( OMNI ) data ( available fromomniweb.gsfc.nasa.gov ) , for a location just downstream the bow shock ( case ( a ) ) , for turbulence inside the magnetosheath ( case ( b ) ) , and finally just outside the magnetopause ( case ( c ) ) .	125403825	yes
The global MPI itself and its associated incidence and intensity are estimated using nationally representative survey data , accounting for sampling weights and other aspects of complex survey design . This study uses the microdata that underlies the 2020 release of the global MPI ( Alkire et al . , 2020b , c ) ; Table D.1 in the appendix presents a full list of datasets , their dates , and their use in our analysis . For our microsimulations , we use 97 out of 107 countries covered by the most recent available cross - section datasets ( ' global MPI ' ) , excluding the 10 countries lacking the nutrition indicator which is essential for our simulations . For calibrating our trajectories , predicting the simulated shock in 2020 , and the final aggregation to the global level , we use data of the 70 countries for which we have two intertemporally harmonised cross - sections ( ' Changes over time ' ) ; see also Figure A.1 on this . Across these 70 countries , the global MPI datasets collectively comprise a sample of 6.4 million individuals , representing a population of over 4.6 billion individuals .	238478212	yes
Secondly , given the genetic overlap between traits , we observed that some signals were shared between sex hormone traits but appeared to have much stronger effects in one versus others . To help derive additional genetic risk scores that reflected this , we took all genome - wide significant signals within each sex but across traits , and performed ward - based hierarchical clustering 35 on individual variant Z scores . We used the observed clusters from these analyses to produce additional genetic instruments ( Supplementary Table 16 ): 8 . A ' male SHBG cluster ' ( N = 362 ) formed from SNPs with dominant effects on SHBG in men . Each SNP in this genetic instrument is weighted by its effect from the BMI - unadjusted SHBG analysis . 9 . A ' male testosterone cluster ' ( N = 122 ) formed from SNPs with dominant effects on both total and bioavailable testosterone in men . Each SNP in this genetic instrument is weighted by its effect on total testosterone . 10 . A ' male estradiol cluster ' ( N = 14 ) formed from SNPs with dominant effects on estradiol in men . 11 . A ' female SHBG cluster ' ( N = 373 ) formed from SNPs with dominant effects on SHBG in women . Each SNP in this genetic instrument is weighted by its effect from the BMI - unadjusted SHBG analysis . 12 . A ' female testosterone cluster ' ( N = 241 ) formed from SNPs with dominant effects on both total and bioavailable testosterone in women . Each SNP in this genetic instrument is weighted by its effect on total testosterone . Gene prioritization . We used the SMR software package 36 to systematically map associated genetic variants to genes via expression effects ( eQTLs ) . For all analyses we included expression data from liver , in addition to skeletal muscle in men and adrenal gland in women . All expression data were generated by the GTEx consortium ( v7 ) , made available from the SMR website resource section ( https:// cnsgenomics.com/software/smr/#DataResource ) . Only genes passing multiple test correction and exhibiting no statistically significant evidence of coincidental eQTL overlap ( assessed by the SMR HEIDI metric ) were considered . The same data were additionally used to perform global tissue enrichment using linkage disequilibrium score regression applied to specifically expressed genes ( LDSC - SEG ) 37 .	211074514	yes
In this section , we describe the dependent and independent variables used in our econometric models . These models aim to determine the factors that significantly impact consumer mobility activities as a consequence of the COVID-19 pandemic . We combine four main sources of data : 1 ) Google Trends data , 2 ) Google Mobility data , 3 ) Data on mortality and number of infections due to COVID-19 , and 4 ) Twitter data ( tweets ) relating to the COVID-19 pandemic .	255441206	yes
Both programs have the common feature that they are based on one single Fortran code ( NMHDECAY SLHA.f or NMHDECAY SCAN.f ) that does not need to be linked with any other code . However , both programs need data files in order to check against negative Higgs searches at LEP in the numerous channels discussed in section 4 . These data files are available in the directory LEPCON , that can be downloaded from the NMHDECAY home page . Note that the directory LEPCON has to be situated in the same directory that contains the executable NMHDECAY code . We now discuss the particular features of the two programs .	13871951	yes
From the time series observations obtained between 2005 and 2019 , we have built eight different light curves . Additionally , we used data published in the literature by Jewitt & Sheppard ( 2002 ) ; Lellouch et al . ( 2002 ) and Hicks et al . ( 2005 ) , thus incorporating three additional light curves to our study from previous years ( figure 1 ) . All the light curves were corrected from light travel time . Because Varuna 's body is assumed to have an ellipsoidal shape ( e.g. , Jewitt & Sheppard 2002;Lellouch et al . 2002 ) , data from each light curve were fitted to a Fourier series m = Σ i [ a i sin(2iπφ ) + b i cos(2iπφ ) ] , where m is the theoretical value of the relative magnitude obtained from the fit , φ is the rotational phase ( calculated as the fractional part of ( JD − JD 0 ) /P , where JD is the Julian Date , JD 0 = 2451957.0 is the initial Julian Date , and P is the rotation period in days ) , and ( a i , b i ) are the coefficients of the Fourier function ( with i = 0 , 1 , 2 , ... ) . In our specific case , we used up to secondorder ( i = 2 ) or up to fourth - order ( i = 4 ) Fourier functions . The second order is the minimum order that allows a double - peaked fit ; however , higher orders take into account small deviations on inhomogeneous objects and can be used to fit light curves that are highly sampled . The 2001The , 2002A , 2011The , 2018 and 2019 light curves were fitted to a fourth - order function , while the remaining light curves were fitted to a second - order Fourier function , because the number of data points in those runs was not large enough to use a higher order . Data were folded using Varuna 's rotation period of 6.343572±0.000006 h , which is obtained using the Lomb periodogram analysis of all our data , in agreement with the previous one reported in Belskaya et al . ( 2006 ) . The peak - to - valley amplitudes ∆m ( amplitudes in the following ) of each light curve are given by the absolute maximum and minimum produced by the fits . Table 1 contains the results from the fit to each light curve , i.e. , the amplitude and the dispersion of the residuals of the Fourier function fit to the observational data . One of the evident results is that the amplitude has changed considerably along these 19 years , with an increase of ∼ 0.13 mag . Online table 2 presents all the relative photometry observations from 2005 to 2019 .	202558865	yes
Semi - synthetic Data : Following [ 5 ] , we generate semi - synthetic corpora from LDA model trained by MCMC , to ensure that the synthetic corpora retain the characteristics of real data . Gibbs sampling 5 http://qwone.com/˜jason/20Newsgroups Non−Catchwords Catchwords Figure 1 : Plot of q i ( ζ , l ) for some random catchwords ( left ) and non - catchwords ( right ) . Each of three plots for catchword is for one topic ( l ) with two random catchwords ( i ) for each topic and each plot on right is for one non - catchword ( i ) with curves for multiple topics ( l ) .	15386282	yes
No data reported on harms .	52883486	yes
CIF data are deposited with the CCDC , codes 1032195 - 9 .	12746149	yes
In total , I have had 69 semi - structured , informal interview exchanges ( 27 in - person interviews with 31 people that include subsequent audio and text messaging for purposes of clarifications and updates ) . In the interest of organizing the data , I grouped all of the audio exchanges with each interviewee into a single interview . This means I have a total of 39 interviews , which are numbered in the middle column of Appendix A ( interview details ) .	254384500	yes
I start this paper in Sect . 2 by providing some theoretical and empirical backing for why Weinberg et al . ( 2001 ) found the hypothesis about SES and Gettier judgments plausible . In Sect . 3 I introduce the Great British Class Survey . Sections 4 - 6 describe the experiments , and report the results . Section 7 concludes . The Appendix contains the texts of all vignettes as well as table work . Supplementary Materials contain information on the construction of the SES variables and other relevant matters , and will be made available online , together with the data .	237505077	yes
Supplementary data to this article can be found online at https://doi . org/10.1016 / j.scitotenv.2022.160163 .	251656040	yes
In this paper , the key assumptions are explained in more detail and the most relevant sources are displayed . In order to encourage other researchers , companies and LCA experts to reproduce , update or adjust our findings , the supplementary documentation ( SD ) provides detailed information on other assumptions ( mainly about the chosen inventory data ) , data sources , process schemes and the used inventory processes ( mostly from the Ecoinvent database ) .	222117836	yes
In the next experiment , we trained , DCN , VaDE , DEPICT ( using agglomerative clustering initialization ) and IMSAT ( using adversarial perturbations for data augmentation ) on the 2D datasets of Figure 1 . The experiments were performed using the code published by the authors of each paper .	3278749	yes
Eurostat data have been used in this paper to estimate the carbon impacts of the COVID-19 outbreak for the 23 European countries for which consistent data are available . GDP data at industry level breakdown have been used to calculate the production variations that have taken place in the first semester of 2020 compared to the same period of the previous year . The carbon intensities provided by Eurostat for the year 2018 , and reported in Table A1 of Appendix A , have been used to estimate the CO 2 emissions change ( Eurostat Air Emission database ) . In Table 1 , the industry breakdown considered in this paper is reported together with the related NACE Rev. 2 activity classification . 1 Following the approach proposed by Han et al . ( 2021 ) , where carbon factors and GDP variations are used to estimate the CO 2 emission change , the carbon dioxide emissions drops are here estimated according to Eqs . ( 1 ) and ( 2 ) , where the carbon intensities of the NACE Rev.2 activities are assumed to remain unchanged from the year 2018 .	231677611	yes
We have previously reported on a non - randomized , open - label , phase I / II clinical study ( based on a lentiviral gene therapy vector ) involving seven pediatric patients with severe WAS . Details of the gene therapy study design and procedures have been reported previously 20 . The patients were treated at Necker - Enfants Malades Hospital ( Paris , France ; ClinicalTrials.gov identifier NCT01347346 ) and at Great Ormond Street Hospital ( London , UK ; ClinicalTrials.gov identifier NCT01347242 ) . Patients were enrolled in the Long Term Safety Follow up of Haematopoietic Stem Cell Gene Therapy for the Wiskott - Aldrich Syndrome ( WASFUP ) study ( ClinicalTrials.gov identifier NCT02333760 ) , which was designed to follow patients for an additional 13 years after the initial gene therapy study . The WASFUP study protocol was approved by the UK and French drug regulatory agencies and the appropriate investigational review boards , such as the Gene Therapy Advisory Committee in the United Kingdom and the Comité de Protection des Personnes in France . A CONSORT flow diagram detailing enrollment of the patients is available in the Supplementary Information . Data were collected manually and transferred to the Altizem Society for data management through Clintrial software .	246277226	yes
The OSCAR server and web application is an open system for cluster analysis of microarray data , with an automated procedure to incorporate and manage all clustering algorithms . It provides a comprehensive and friendly environment to both users and algorithm developers . A database system is developed to manage all the algorithms , including their documentation , their parameters , each parameter 's description , type , bounds and default value . When a user accesses the OSCAR website , the server will automatically list all the algorithms currently available , together with a URL to the documentation for each of the algorithms listed . When a user chooses a particular algorithm , all information about the parameters and input files of the algorithm is retrieved from the algorithm database and automatically displayed to the user . Users can use the interactive web forms to adjust the parameters , upload input data and execute the computation on the server . Algorithm ' developers ' can use the interactive web forms to incorporate their own algorithms to OSCAR without revealing their source codes . The submitted algorithm will be managed by OSCAR 's database , sharing the same output format and be accessible to all users ( Supplementary Figure S1 ) .	52828088	yes
Natural image patches We tested the scalability of the DDC - HM by applying it to a natural image data set ( van Hateren and van der Schaaf , 1998 ) . We trained the same generative model as before on image patches with dimensionality D x = 16 × 16 and varying sizes of latent layers . The recognition model had a hidden layer of size 500 , K 1 = 500 , K 2 = 100 encoding functions for z 1 and z 2 , respectively , and used 1000 samples during the sleep phase . We compared the performance of our model with the IWAE ( k=50 ) using the relative ( three sample ) MMD test ( Bounliphone et al . , 2015 ) with a exponentiated quadratic kernel ( width chosen by the median heuristic ) . The test establishes whether the MMD distance between distributions P x and P y is significantly smaller than the distance between P x and P z . We used the image data set as our reference distribution and the IWAE being closer to the data as null hypothesis . Table 1 summarises the results obtained on models with different latent dimensionality , all of them strongly preferring the DDC - HM . Sigmoid Belief Network trained on MNIST Finally , we have evaluated the capacity of our model to learn hierarchical generative models with discrete latent variables by training a sigmoid belief network ( SBN ) . We used the binarised MNIST dataset of 28x28 images of handwritten images ( Salakhutdinov and Murray , 2008 ) . The generative model had three layers of binary latent variables , with dimensionality of 200 in each layer . The recognition model had a sigmoidal hidden layer of size 300 and DDC representations of size 200 for each latent layer . As a comparison , we have also trained an SBN with the same architecture using the VIMCO algorithm ( as described in ( Mnih and Rezende , 2016 ) ) with 50 samples from the proposal distribution 2 . To quantify the fits , we have performed the relative MMD test using the test set ( N = 10000 ) as a reference distribution and two sets of samples of the same size generated from the SBN trained by the VIMCO and DDC HM algorithms . Again , we used an exponentiated quadratic kernel with width chosen by the median heuristic . The test strongly favored the DDC HM over VIMCO with p < 10 −20 ( with MMD values of 6 × 10 −4 and 2 × 10 −3 , respectively ) .	44086783	yes
The rGGGC(CAG ) 5 GUCC , referred to r(CAG ) 5 oligomer , was purchased from Integrated DNA Technologies , Inc. The r(CAG ) 5 oligomer was dissolved in diethylpyrocarbonate ( DEPC)-treated water to the final concentration of 1.2 mM. Prior to crystallization , the oligomer was heated at 75 • C for 10 min and cooled slowly to room temperature within 3 h. Crystals were obtained from the condition of 100 mM HEPES ( pH 7.5 ) , 1.6 M ( NH 4 ) 2 SO 4 and 10 % PEG 400 at 16 • C using vapor diffusion method . X - ray diffraction data were collected on the beamline TPS 05 at National Synchrotron Radiation Research Center ( NSRRC ) in Taiwan . The HKL2000 program ( 41 ) was applied for data processing . The RNA structure was solved by molecular replacement using the Phaser program embedded in the PHENIX suite ( 42 ) , manually revised using Coot ( 43 ) , and further refined using PHENIX ( 42 ) . The truncated rUUGGGC(CAG ) 3 GUCC structure ( PDB code : 4YN6 ) ( 40 ) was used as a search model . The 3DNA program ( 44,45 ) was used to calculate the helical parameters of the RNA structure . Data collection and refinement statistics are summarized in Table 1 . All structural figures were drawn by the software PyMOL . The coordinate was deposited in the Protein Data Bank ( PDB ) with an accession code of 7VFT .	250175714	yes
Code availability - The code to analyze data are available from the corresponding author upon request .	3494925	yes
The data that support the findings of this study are available from the corresponding author upon reasonable request .	51970657	yes
Samples and data sets with clinical and molecular annotation are described in Supplementary Table 3 . The distribution of clinical and molecular data by the four consensus subtypes is shown in Supplementary Table 5 . Data was generated by each independent group or TCGA and aggregated with standardization as described below . We performed non - parametric tests for comparisons of continuous values ( Kruskal - Wallis ) and discrete counts ( Fisher 's exact test ) . Samples from each CMS were compared with the remaining samples , after confirming similar variance of the groups been compared . P values were adjusted for multiple comparisons as detailed in each section . All correlative analyses were carried out using R statistical software version 3.1.1 . • Other genes ( exome level ): available in TCGA data set , as described above .	5092451	yes
Daily rainfall and temperature data were gathered from the Met Office Integrated Data Archive System ( MIDAS ) , which is freely available for on - line access to UK academics . These data were collected through a network of meteorological stations spread all over the Thames catchment ( and the rest of the country ) . Detailed information on the collection methods and quality control is reported on the Centre for Environmental Data Analysis ( CEDA ) website . Most measurements are made with full traceability to national or international standards . The daily precipitation , minimum temperature and maximum temperature data from all the available stations within the Thames catchment were interpolated on a 5 × 5 km grid using the Thiessen polygon method , and then the daily average precipitation and temperature series were computed and used as model input .	4218795	yes
Procedures for conducting a convincing sensitivity analysis may depend strongly on the specific model and data , and such procedures are still being developed [ 89][90][91][92][93 ] . The choice of other priors to compare is crucial , yet can be controversial . In applications for which the duration of each individual MCMC is long , an exhaustive sensitivity analysis may take a very long time , and efficiencies may need to be introduced . Therefore the guidelines here are general , and the analyst is encouraged to explore the literature for model - specific recommendations . Ultimately , the analyst must be thoughtful in exploring plausibly interesting variations in the prior and be forthright in presenting the results . Because of the potential length of a thorough presentation , online supplementary material may be needed and is encouraged ( see ' Make it reproducible ' ( BARG step 6 ) ) . Reporting points are listed in Table 1 .	237149547	yes
