text	corpusid	sentiment
Data were analyzed by normality tests ( Shapiro - Wilk and Kolmogorov - Smirnov ): a normal distribution was confirmed . Thus , in comparison of the irradiation conditions and CFU counts , data were analyzed with a parametric test ( Dunnett 's or Tukey test ) by SPSS v15.0 ( IBM , Armonk , NY , USA ) , with significance accepted at p < 0.05 .	17038325	no
Supplementary Figure S1 . TALENs induce higher somatic indel rates than ZFNs in zebrafish embryos . ( a ) Data points represent somatic indel rates for each of the 84 ZFN and 34 TALEN pairs tested . Black bars indicate median somatic indel rate for each type of nuclease . Indel rates were significantly higher for TALENs compared to ZFNs ( p=5.1x10 -12 using Wilcoxon rank sum test ) . Black data points represent ZFNs and TALENs for which germline mutants were generated . Panel ( b ) shows data for nucleases that induced somatic indels at rates up to 1 % .    Figure S2 . The distribution of somatic indel size is similar for nucleases with different somatic indel rates . Somatic indels that were induced by ZFNs ( a ) and TALENs ( b ) have similar size distributions regardless of the indel rate . Median indel size and number of sequence reads are as follows .	16342575	no
We begin by illustrating that the spatial variations of the line - center Q / I and U / I signals of the Ly - α line are very sensitive to the geometric complexity of the corrugated surface that delineates the TR . Secondly , we demonstrate that the significant CLV of the Q / I line - center signal of the Ly - α line calculated in Carlsson et al 's ( 2016 ) 3D radiation MHD model of the solar atmosphere can be reduced by increasing the magnetic field strength and/or the geometrical complexity of the model 's TR . We then show how this can be exploited to constrain , from the CLASP line - center data , the magnetic strength and geometric complexity of the solar TR by applying the statistical inference method discussed inŠtěpán et al . ( 2018 ) . To this end , we confront the statistical properties of the CLASP line - center data with those of the polarization signals calculated in a grid of 3D model atmospheres characterized by different degrees of geometrical complexity and magnetization .	119083583	no
In an indoor environment the risk to a susceptible individual of acquiring a new TB infection in the presence of an infectious source is proportional to the fraction of contaminated exhaled air and the duration of the exposure ( Riley et al . , 1978 ) . A systematic approach to identifying transmission sites must be based on both these factors . By equipping our study participants with unobtrusive personal CO 2 /GIS monitoring devices we were able to integrate data regarding both the level of risk at different sites visited and the length of time an individual remained exposed to that risk . Applying a Getis - Ord - GI * cluster analysis ( Getis and Ord , 1992 ) primarily located the community school as a potential TB hot spot .	14416738	no
Between 27 November 2009 and 12 March 2012 , 208 women were randomly assigned to sacrospinous hysteropexy ( n=103 ) or to vaginal hysterectomy ( n=105 ) . The figure shows the flow of women through the study . Baseline characteristics were similar between the groups ( table 1 ) and pelvic measurements and characteristics did not differ at baseline ( table 2 ) . Table 3 presents the results on the primary outcome and the additional definitions of surgical failure . Sacrospinous hysteropexy was non - inferior to vaginal hysterectomy for anatomical recurrence of the apical compartment with bothersome bulge symptoms or repeat surgery for recurrent apical prolapse : sacrospinous hysteropexy 0 % ( n=0 ) versus vaginal hysterectomy 4.0 % ( n=4 ) , difference −3.9 % ( 95 % confidence interval −8.6 % to 0.7 % ) for the intention to treat - last observation carried forward approach . Non - inferiority of sacrospinous hysteropexy was also shown in the intention to treat analysis with conservative imputation and the per protocol analysis . The original primary outcome variable of overall anatomical failure occurred in 50 % of the women after sacrospinous hysteropexy compared with 44 % after vaginal hysterectomy ( 95 % confidence interval for difference −7.4 % to 20.1 % ) . No notable differences were found for anatomical recurrences in the different compartments , except for the posterior vaginal wall : sacrospinous hysteropexy 4 % versus vaginal hysterectomy 14 % ( 95 % confidence interval for difference −18.2 % to −1.8 % ) . Table 4 shows the intraoperative and postoperative details of the women , including the secondary outcomes of complication rate and length of hospital stay . Five serious adverse events were reported during hospital stay : two after vaginal hysterectomy and three after sacrospinous hysteropexy . One woman developed paralytic ileus after vaginal hysterectomy . She had also experienced this problem after orthopaedic surgery . She aspirated gastric contents eight days after surgery , developed aspiration pneumonia , and died because of multi - organ failure . The other serious adverse events were atrial fibrillation , which required cardioversion ( vaginal hysterectomy ) ; stroke two days after surgery , but with full recovery and no loss of function ( sacrospinous hysteropexy ) ; postoperative pneumonia ( sacrospinous hysteropexy ) ; and anaphylactic reaction to prophylactic antibiotics before the surgical procedure ( sacrospinous hysteropexy ) ; in this last woman the surgical procedure was postponed for several months , without any problems . None of the serious adverse events were judged to be related to the type of surgery . Tables 5 and 6 provide details on the other secondary outcomes . Functional outcome and quality of life did not differ significantly between the groups ( table 5 ) . Postoperative recovery was similar after both interventions , with comparable recovery index-10 scores at 1 , 2 , 4 , and 6 weeks after surgery ( table 6 ) . Among the patients who completed the pelvic organ prolapse / urinary incontinence sexual questionnaire before and after surgery , there was significant improvement in scores in both surgical groups ( P<0.002 each ) but no significant difference in total scores between both interventions ( table 6 ) . Flow of women through study . * intention to treat : two patients allocated to vaginal hysterectomy ( vH ) received sacrospinous hysteropexy ( sH ) and were analysed in the vH group . Data at six and 12 month follow up were missing in one patient after sH and six patients after vH ; one patient after vH had recurrent apical prolapse but pelvic organ prolapse quantification ( POP - Q ) score was missing , this patient was included in the intention to treat - last observation carried forward analysis . †Missed data imputed as failure . ‡Per protocol analysis : two patients did not receive intended treatment . excluded per protocol analysis : lost for follow - up at 12 months ( n=8 ) , missing or incomplete POP - Q score ( n=5 ) , and major protocol deviations ( n=9 ) ; two patients met two criteria to be excluded from per protocol analysis Pain scores on the visual analogue scale did not differ notably between both interventions , except for day 14 in favour of hysterectomy . In eight out of nine women who experienced buttock pain , a typically reported problem after sacrospinous hysteropexy , the pain resolved ( visual analogue scale score < 2 ) spontaneously within the first six weeks . One woman underwent suture cutting and vaginal hysterectomy after four months because of persistent pain localised at the place of the sacrospinous hysteropexy sutures . After this procedure she was free of symptoms .	6322667	no
This study makes use of data from AEGIS , a multiwavelength sky survey conducted with the Chandra , GALEX , Hubble , Keck , CFHT , MMT , Subaru , Palomar , Spitzer , VLA , and other telescopes and supported in part by the NSF , NASA , and the STFC .	235606438	maybe
"Community acceptance - The community acceptance measure consisted of six items assessing the way participants perceived general manifestations of acceptance from others in the community . The measure included items such as "" since the war , people in this community have been good to you "" and ' since the war , you feel you have been welcomed back into the community where you live . "" As opposed to the daily discrimination scale discussed below , these items were not phrased to specifically refer to the experience of being a child soldier . Items were scored on a Likert scale with response options of "" not true "" to "" sometimes true "" or "" very true . "" This measure was administered at both waves of data collection and exhibited strong internal reliability ( Cronbach 's α = .90 at T1 and Cronbach 's α = .89 at T2 ) . For each child , we computed a subscale score for community acceptance at T1 and T2 . We also computed a "" change in community acceptance "" by subtracting the T1 score from the score at T2 . An increase in the community acceptance score between baseline and follow - up would thus indicate a positive change in community acceptance . Because change in community acceptance differed for those starting at higher or lower levels at baseline , all analyses were adjusted for T1 community acceptance . Baseline scores and scores for change in community acceptance were treated as continuous measures in analyses ."	9872390	no
ERRBS is a slightly modified version of RRBS 36,37 . Libraries were prepared by MspI restriction enzyme digestion of high molecular weight genomic DNA , followed by end repair , size selection , bisulfite conversion and library amplification as previously described 38,39 . Libraries were sequenced on a HiSeq 2000 Illumina machine using 75 bp single - end reads . Data alignment was performed to human genome hg19 as previously described ( see data analysis description ) 38,39 . Average reads per sample were 138,596,488 with a mean alignment rate of unique reads of 63.7 % , covering on average 4,399,235 CpGs per sample at a minimum threshold coverage of 10X. Average coverage depth per CpG was 72.3 and average bisulfite conversion was 99.86 % determined as previously described 38,39 . See Supplementary Table 3 for detailed sequencing statistics . A subset of patient samples were processed using SeqCap Epi 4 M CpGiant Enrichment kit ( NimbleGen - Roche ) and SureSelect XT Human Methyl - Seq ( Agilent Technologies ) per manufacturer 's recommendations . These were sequenced using a paired - end 100bp approach on a HiSeq 2000 ( Illumina , Inc. ) .	13938356	no
where x is the GW and AGN data . We consider the AGN association ( i.e. λ > 0 , because at least a fraction of the BBH come from AGNs ) to be confident if K > 100 . The number of follow - up observations needed to reach this requirement as a function of the true value of λ given in input is shown in Fig .   3 for different sky maps . It is clear that for poorly localized events like GW190521 , tens of GW follow up campaigns are Figure 3 . Number of GW events to be followed - up to obtain a confident association ( i.e. for a Bayes factor K = 100 ) between AGN flares and BBH events , as a function of the true input value of λ in the simulations . Each curve corresponds to a different fixed GW sky map , with a range of localization volumes ( from ∼ 10 −4 to 10 Gpc 3 at 99 % CI ) . This figure applies to the ideal case in which the AGN flares associated to the GW events are all detectable ( we assume a magnitude limit g < 20.5 ) . The orange line shows a comparison with the result from Bartos et al . ( 2017a ) ( B17 ) , who do not consider follow - up observations of AGN flares , but instead compare the GW localizations with AGN positions . The other differences with B17 are that their N corresponds to the number of events needed to reach 3σ using a p−value statistical method , and that they consider a slightly lower AGN number density . required in order to make a confident association , even in the most optimistic case where λ tr = 1 and we can detect all AGNs where the BBH merger could happen . Only a few to tens of events are needed to make a confident association for better - localized events such as GW170814 or GW190814 down to λ tr = 0.1 . This is an obvious consequence of the fact that the number of background contaminants scales with the comoving volume , and that the localization volume of these events is orders of magnitude lower than the one of GW190521 . We compare our results with the predictions by B17 who uses only GW localizations ( i.e. without follow - up observations ) to probe the origin of BBH mergers and to potentially associate them with AGNs . Fig . 3 shows that we find a similar scaling relation of the number of events required to reach K = 100 as a function of λ as theirs , although slightly less steep than N(K = 100 ) ∝ λ −2 . The main differences with the B17 predictions , other than follow - up observations , are that their N corresponds to the number of events needed to reach 3σ using a p−value statistical method ( so that here the scaling of the number of events needed could be different as we are not directly considering the width of a distribution ) , and that they consider a fixed ( in redshift ) and lower AGN number density .	232417150	no
The RMSE values presented in Table 4 indicate the acceptable prediction accuracy of the alternative models for intentions to visit during the COVID-19 pandemic , with the training data 's mean RMSE value equalling 0.2806 and the testing data 's mean RMSE value equalling 0.2904 . The RMSE values presented in Table 5 likewise reveal the acceptable prediction accuracy of the alternative models for intentions to travel after the COVID-19 pandemic , with the training data 's mean RMSE value equalling 0.3859 and the testing data 's mean RMSE value equalling 0.4084 .	245008959	no
The EtOAc solution is cooled to 0 ° C and while stirring , the HCl solution in EtOH is added dropwise to precipitate a white solid . The precipitate is then filtered , washed with EtOAc ( 3x 15 mL ) , and dried under pressure to give imidazole-1 - sulfonyl azide hydrochloride as white solid ( 5 g , 76 % ) . The NMR spectroscopic data were in agreement with those described in the literature . [ 3 ] Caution ! Imidazole-1 - sulfonyl azide and its salts ( including chloride salt ) are known to be energetic materials that are sensitive to chock and friction . Care should be taken while handling this material	51985550	no
To appraise the accuracy of the extracted defect parameters , we calculated the uncertainty associated with the application of Equations ( 2)-(4 ) to the measured PICTS data ( Table S5 , Supporting Information ) . We found that the uncertainty in the extracted defect energies is on average equal to 25 meV across all sample types and smaller than 60 meV in all cases ( Table S5 , Supporting Information ) . Moreover , the uncertainty associated with the extraction of the capture cross - sections and volumetric concentrations is on average within a factor of 2 - 4 and generally smaller than one order of magnitude - i.e. , a comparatively narrow range considering the ≈10 orders of magnitude over which these parameters may vary .	235539488	no
The uninformative equilibrium denotes the case where all workers collude by always reports the same answer to all tasks . For traditional peer prediction mechanisms , under this equilibrium , all the workers still can get high payments because these mechanisms determines the payment by comparing the reports of two workers . However , the data requester only can get uninformative labels , and thus this equilibrium is undesired .	44155127	no
ARIMA differs from other longitudinal analysis techniques in the social sciences such as latent growth modelling ( LGM ) and multi - level modelling ( MLM ) in a number of ways . First , it focuses on a singleunit dependent variable over time . It is suitable in situations where there is suitable aggregate data for a phenomenon , but where individual data may be sparse or incomplete ( as is the case in this study ) . Second , while LGM and MLM tend to be applied on data sets with only a few time periods , ARIMA is most suitable for time series with more than 50 time points ( Yanovitzky and VanLear , 2007 ) . Third , neither LGM or MLM adequately reflect the time series character of a data set and do not capture trends that are caused by the internal dynamics of the variable under study ( Hollanders and Vliegenthart , 2008 ) . This limitation is typically addressed via research designs with a small number of distinct time data points ( often two , three or four ) or with panel data sets ( Shin , 2017 ) . Notwithstanding , a key problem in such designs is that variables are expected to vary at random , so the common practice of selecting data every three or four time units ( Wilson et al . , 2006 ) , can easily result in the incorrect identification of a trend ( Kelly and McGrath , 1988 ) . ARIMA is designed to account for the complex internal dynamics of time series variables through the different mechanisms it employs , as explained above .	235255900	no
Initially , the ability of cells to survive and proliferate from a single cell - an important characteristic of self - renewing cells - was evaluated by a colony - formation assay . All three clones ( ASTcl3 , ASTcl6 , and ASTcl7 ) acquired the ability to form colonies , as evidenced after 5 days of plating ( Figure 2B ) . ASTcl7 formed more colonies compared with ASTcl3 and ASTcl6 ( Figure 2C ) . Notably , primary astrocytes were also analyzed , and proved unable to form colonies ( data not shown ) .	248275166	no
In this experiment , we verify that the results in synthetic datasets can translate into data with higher dimensions . While visualizing the learned energy function is not feasible in high - dimensional space , we can verify whether the learned energy function learns relative densities by inspecting the ranking of samples according to their assigned energies . We train on 28 × 28 images of a single handwritten ( a ) Standard GAN ( b ) Energy GAN without regularization ( EGAN - Const ) Figure 2 : Learned energies and samples from baseline models whose discriminator can not retain density information at the optimal . In the sample plots , blue dots indicate generated samples , and red dots indicate real ones .	13619197	no
( iv ) The goodness of fit is always satisfactory ( χ 2 /d.o.f . < 3 ) at weak and intermediate couplings ( u ∈ [ 0.8873 , 1.8811 ] ) . In a limited number of cases at stronger couplings the value tends to rise considerably , but this apparently does not depend systematically on the number of fitted points and choice of fitting Ansatz . In any case , given the small number of fitted data points , χ 2 /d.o.f . is a goodness - of - fit criterion of relatively limited value . Instead , the total χ 2 /d.o.f . varies between 1 and 2 , indicating satisfactory overall quality of the fits .	15208349	no
With rare events , organizations may not have relevant prior experiences to draw inferences and aid decision - making . The Covid-19 pandemic represents such a rare event . Responding to rare events requires organizations to mobilize and adjust existing resources quickly as well as develop new capabilities ( Henningsson et al . , 2021 ) . Further , rare events ( such as the Covid-19 pandemic ) are usually characterized by less available data ( Oehmen et al . , 2020 ) . For example , in the case of the Covid-19 pandemic , retailers may not have accurate epidemiological data on transmission and may have to use other heuristics , such as consumer mobility patterns , to optimize retail decisions . During the early days of the COVID-19 pandemic , due to potential and actual social distancing policies , including mandated lockdowns or potential lockdowns , consumer trends were disrupted , which also affected retail activities globally ( OECD , 2020 ) . As the epidemic growth showed geographic variation , some states , e.g. , New York ( NY ) , observed early surges in hospitalizations and early long - term state - wide lockdowns . Meanwhile , other states , e.g. , Nebraska ( NE ) and Texas ( TX ) , observed increased cases and deaths sometime later than NY . These geographic variations in cases and deaths also produced varying demands on certain items , such as hand sanitizer and masks , as well as varying mobility patterns , including retail activity patterns .	255441206	no
Since some CEOs were born prior to the period covered by the FEMA dataset , their exposure to natural disasters in their formative years ( 5 - 15 years ) may be missing in our dataset . To construct a more comprehensive countylevel natural disaster database that covered the period of all CEOs ' formative years , we searched additional data sources , which included the United States Census Bureau ,	255566528	no
where was a small value ( 10 −12 ) close to zero and α took on a transform - specific value summarized in Table 1 . The transform - specific maximum value was computed as T ( 10 ) . Once the Gaussian samples were generated for each transformation function , the samples were inverse - transformed via the corresponding T −1 into the simulated neural responses . The code used to generate simulated data can be found at https://github.com/sinzlab/bashiri-et-al-2021 .  	237495187	yes
We use IRIS 1400Å slit - jaw images ( SJI ) of an ondisk plage region ( NOAA AR 11809 ) centered at [ x , y ] = [ 383,124 ] , with a Field - Of - View of 119 ×120 . The observations were taken on 04 - Aug-2013 10:38 - 11:41 UTC . IRIS was in sit - and - stare mode ( IRIS obs - id 4043007648 ) taking only the 1400Å SJI passband images with cadence of 5.6 s and exposure time of 4 s. We use level-2 IRIS data that was corrected for flat - field , dark current , geometry and co - alignment ( De Pontieu et al . 2014b ) .	119242247	no
These data have important implications for patient care . Special regulatory designations allow drugs to be approved at earlier stages based on less rigorous clinical testing ; for example , one review showed drugs with orphan designations or granted accelerated approval are also more likely than drugs without these designa- tions to be tested in single arm studies without placebo or active comparators . 4 While many physicians and patients trust that FDA approved products are effective and safe for use , products approved on the basis of more limited data are at greater risk for later changes to their effectiveness or safety profiles . 31 Ponatinib ( Iclusig , Ariad Pharmaceuticals , Cambridge , MA)-designated for priority review and orphan status , and granted accelerated approval - was approved for refractory chronic myeloid leukemia in 2012 and its approval was suspended a year later as emerging data showed it to be less safe than it originally appeared . The suspension was lifted a few months later , with a stronger warning label and limitations to prescribing . 32 Given the increased likelihood of post - approval changes in the prescribing information for these therapeutics , regulators may want to ensure that the provisional nature of these drugs is well communicated to patients and physicians . Currently , only drugs approved through accelerated approval have this information integrated into their official labels . In addition , the FDA may want to consider new guidance on advertising practices to ensure that all advertisements prominently feature the limited nature of the data supporting agents approved through these pathways .	5001680	no
"Desire to return to normalcy ( α = .93 , 1.1 % missing data ) was measured with seven items ( e.g. , "" Even though we may lose some people in the process , it 's time for people in Brazil to return to business as usual "" ) ."	256194844	no
Data sharing : No additional data are available .	67859663	yes
