corpusid,section,subsection,section_pos_in_pct,text,Yes,No,Maybe,Keyword
233192205,16/21,1,0.762,"All **data** was analyzed using GraphPad Prism v7.0 (San Diego, www.graphpad.com, RRID:SCR_002798). Normal distribution was evaluated using the Shapiro-Wilk test. For comparisons between two groups, Mann-Whitney U test was used for non-Gaussian distribution samples. For multiple groups, Kruskal-Wallis test was used for non-Gaussian samples, followed by Dunn's multiple comparison post hoc test to compare between groups. Dose-response was analyzed using a nonlinear regression with a 95% confidence interval. p-Values were calculated with a 95% confidence internal, when nothing is mentioned there is no statistical significance, otherwise: *p < 0.05, **p < 0.005. Data presented was shown as mean ± SD.",0,1,0,
159187248,39/67,1,0.582,"Since there was a lack of necessary data, the research team collected field level **data** in the summer of 2017 from both cities to develop the drainage model. Data pertaining to the primary water level, water discharge, and existing drainage networks and their cross-sections were collected from the field. The primary **data** were used for both model development and calibration. Moreover, historical water level **data** (from 1938 to 2015) for the Surma River and rainfall **data** at Sylhet recorded by the Bangladesh Water Development Board (BWDB) (from 1957 to 2011) and the Bangladesh Meteorological Department (BMD) (from 1957 to 2015) were collected (Table 3).",0,1,0,
8604607,5/30,1,0.167,"We will use the most updated version of the regulatory label for the treatment options for type 2 diabetes. When **data** on outcomes is not available, we will use **data** from our Agency for Healthcare Research and Quality (AHRQ) comparative effectiveness review 15 .",0,1,0,
229179745,60/73,1,0.822,"Progressivity of taxation: A pooled **data** analysis. Although both Study 1 and Study 2 confirmed the predicted interaction between manipulated socio-economic status and mindset on support for tax-based redistribution (Hypothesis 4), the result pattern was slightly different. In both studies, those who felt relatively well-off (high socio-economic status) were unaffected by the mind-set manipulation. However, the effect of mind-set on those who were made to feel disadvantaged differed across studies: participants in the low socio-economic status reduced their support for progressivity of taxation when in a personal mind-set in Study 1 but increased their support for redistribution when in a collective mind-set in Study 2.",0,1,0,
251843619,8/73,2,0.11,"Interviews to explore barriers and facilitators to implementing and using PC-QIs Study design and setting For our second objective, we used a qualitative descriptive approach to describe the experiences and perceptions regarding PC-QI implementation and to contrast and compare differences between participant groups. Groups compared included those that provided a systemlevel perspective, a clinical primary care perspective, different types of organisations, including health service delivery organisations, regional coordinating organisations, provincial or territorial governments, as well as different types of primary care clinics and organisations, such as academic centres and those serving primarily rural populations. 24 We conducted both individual and group interviews with survey respondents to obtain a system-level perspective, as well as primary care providers and primary care network staff who provided a clinic-level perspective. Primary care providers who were interviewed included physicians, clinic administrators, QI managers and nursing staff. Primary care networks were interviewed as they offer QI support to primary care clinics, such as helping to facilitate discussions with physicians and clinic staff to make improvements in processes of care. Primary care networks also support **data** management, analysis and reporting back to the clinics. The clinical perspective was limited to primary care in the province of Alberta for feasibility, as the University of Calgary is situated within Alberta. Furthermore, future research is focused on piloting and studying the implementation of the PC-QIs in primary care in Alberta.",0,1,0,
236208828,15/27,1,0.556,"Overall and temporal associations between race/ethnicity and COVID-19 incidence and death per capita In order to further investigate the association of minority status with worse COVID-19 outcomes, we compared the rate of infections and death per capita according to the proportion of white, Hispanic and black residents within each county, based on county-level **data** from 2015 to Open access 2019 from the US Census Bureau ACS database. 4 Proportionately more black residents reside in southern USA and Hispanics in southwestern states. Cumulatively for the full year analysis, county-level increase in proportion of black residents (adjusted IRR per 10% increase: 0.99, 95% CI 0.98 to 1.00, p=0.01) was associated with lower, while increase in proportion of Hispanic residents (adjusted IRR per 10% increase: 1.07, 95% CI 1.05 to 1.08, p<0.001) was associated with higher COVID-19 incidence after adjusting for comorbidities using the HCC score and environmental factors (table 3). While county-level increase in proportion of black residents (adjusted IRR per 10% increase: 1.00, 95% CI 0.99 to 1.02, p=0.85) was not associated with COVID-19 death per capita, countylevel increase in Hispanic residents (adjusted RR per 10% increase: 1.07, 95% CI 1.05 to 1.08, p<0.001) was independently associated with higher COVID-19 death per capita (table 3).",0,1,0,
54551628,16/17,3,0.941,"Because rodents make up nearly half of the world's mammalian species-and over 70% of taxa on some islands in this study-Millien repeated her analysis on a subset of the **data** with equal numbers of rodent and non-rodent taxa. The overrepresentation of rodents had no effect on the results, which still revealed signifi cant differences between island and mainland evolution rates for the same species or populations.",0,1,0,
1520137,11/35,1,0.314,"Procedure. Each observer was between 18-40 years old, had normal or corrected-to-normal vision, and participated in only one experment. The experiments were carried out in a dimly lit room. Each trial began with the fixation display for 500 ms, followed by the test stimulus display for 80 ms together with an auditory beep, which is then followed by the fixation display which stayed on waiting for observers' button press response to indicate whether they perceived the target or not in the trial. No feedbacks were given regarding whether their responses were correct. The next trial started 800 ms after the button press. A total of 20 randomly selected trials were performed before **data** collection for each observer before each session. Each experimental session randomly interleaved different stimulus conditions, such that the observers could not predict beyond chance the target contrast C t , nor the contextual configuration and contrast C c before each trial.",0,1,0,
251719245,2/21,1,0.095,"In this study, we used the gene expression **data** of Saccharomyces cerevisae or commonly known as yeast from [20]. The original **data** consists of 6,220 gene expression levels taken into 17-time points. The duration of the interval covers two cell cycles of a synchronized sample of yeasts. From the set of monitored genes, 416 of these genes are found to exhibit cell cycle dependent periodicity [3]. The work of Cho et al. [3] also provided a characterization of genes in terms of their involvement in cell cycle regulation. Yeung et al. [25] provided a subset of genes, where no two genes belong to more than one phase. A subset of 384 genes is grouped according to the 5 phases of the cell cycle. Each group corresponds to a specific cell cycle phase which activates in the following order: early G1 phase, late G1 phase, synthesis phase, second growth phase, and mitosis or cell division. In this paper, we refer to the groupings as Group 1 to 5, respectively. We will use the term functional group to refer to the group of genes belonging to a common function. Unless specified otherwise, the main functional grouping of genes is based on the 5 phases of the cell cycle. A more specific grouping was provided in the work of Cho et al. [3], where they provided biological characterization to some of the genes belonging to a single functional group. Examples of such characterizations are genes involved in cell cycle regulation, directional growth, DNA replication, mating pathway, glycolysis/respiration, biosynthesis, and transcription factors.",0,1,0,
20937129,3/15,1,0.2,"Subanalysis was performed on **data** from the Japanese Society of Pediatric Interventional Cardiology (JPIC) stent survey, a retrospective questionnaire-based survey of stenting for congenital heart diseases from May 1995 to February 2009 at 14 leading hospitals in Japan. 10 The decision for stent implantation was made at each hospital, and stents were deployed using standard techniques. Hemodynamic measurements as well as angiography were performed pre-and post-stent implantation. Pressures were measured directly at catheterization.",0,1,0,
67280593,30/39,1,0.769,"Likert scale results (Figure 1) show a few different trends when comparing pre vs. post-test results. Trends show an increase in feelings that ethical consideration is important and should be integrated into engineering practice. Results show increased perceived understanding of what ethical consideration is, and increased feelings of responsibility for ethical consideration. In contrast, students reported stronger feelings that they were taking the course to satisfy a degree requirement for question 5 in Figure 1, ""I don't really know what 'ethical consideration' is."" was statistically significant (t(28) = 2.58, p = 0.015). All other differences between pre and post **data** in Figure 1 were not statistically significant.",0,1,0,
248361238,6/33,1,0.182,"Clean **data** (127.29 Gb in total) were obtained from 18 libraries (2 treatments × 3 biological replicates × 3 developmental stages). According to the paraffin sectioning results, flower buds of either the control or GA 3 -treated group collected at 40, 80, and 140 DABT were in stage 3, 4, and 5, respectively (Fig. 2). Hence, we named these two sets of samples CK3-5 and GA3-5. Overall, the Q30 of all clean reads was >91%, with a GC content of 46.66-52.37. Detailed statistics of the clean reads are listed in Supplementary Data Table S1. Lacking a reference genome sequence of P. callosum, we de novo assembled the total clean reads, thus obtaining 157 463 unigenes having an average length and N50 length of 811.51 and 1282 bp, respectively (Supplementary Data Table S2). Principal component analysis (PCA) was performed for all samples spanning the flower developmental stages (Supplementary Data Fig. S3a). Except for stage 3, the other samples from different biological replicates clustered separately in the PCA biplot, following their distinct developmental stages.",0,1,0,
7639143,6/22,1,0.273,Subjects' MEG **data** were aligned by using their individual headframe coordinate system defined through the nasion point and the two ear canals. A t-value difference map was calculated comparing ZLVBDD i values of PTSD patients and controls on a voxel-by-voxel basis. Using AFNI (Analysis of functional neuroimages [44]) the t-value difference map was overlaid with the CH2 brain template (see Figure 1).,0,1,0,
16448966,2/19,1,0.105,"The two studies were conducted in collaboration with Save the Children-Georgia to inform programming within their Rebuilding Lives Project, with funding from USAID Displaced Children's and Orphan Fund (DCOF) in and around Tbilisi and Gori, two urban centers. The first qualitative study was conducted in July of 2005 and focused on examining the causes of children living in the street as well as forms of healthy functioning. Children were interviewed at two centers for street children in Tbilisi and one center in Gori. These centers for street children primarily service children who return to their families at night, offering services such as daytime educational activities, meals, sports and recreation, and assistance with schoolwork. The second qualitative study was conducted in May-June of 2006 with the goal of gathering **data** on the problems experienced by street children and those living in orphanages. Locations for this second study included three orphanages (one in Tbilisi and two in nearby villages), and three centers for street children (two in Tbilisi and one in a small city south of Tbilisi). Orphanages in Georgia are for those children without parents, or whose parents have sent them there due to hardship (e.g., poverty, too many children).",0,1,0,
5181686,7/10,2,0.7,"Analysis of molecular variance (AMOVA) was done using **data** from all 372 loci as implemented in Arlequin 2000 [25]. AMOVA enables the partition of genetic variance at a locus or several loci into variation within populations and variation between populations. In addition, AMOVA can be used for a hierarchical analysis of three genetic-variance components -those due to genetic differences (i) between individuals within groups, (ii) between populations within groups, and (iii) between groups. We conducted AMOVA analyses on the study sample using two models (a) a model in that partitioned the genetic variance into that within each ethnic group and that between ethnic groups, (b) a hierarchical model with the country as the first level and the ethnic group within each country as the second level. Additional locus-by-locus AMOVA analysis was done (see Additional file 2). Significance of the AMOVA values was estimated by used of 10,000 permutations. F ST , the fixation index or coancestry coefficient [26], was also computed as a measure of the effect of population division. F ST ranges from 0 (no population subdi-vision, random mating occurrence, no genetic divergence within the population) to 1 (complete isolation or extreme division), and F ST values of up to 0.05 represents negligible genetic differentiation. Allele-sharing genetic distances [14] were also computed between each pair of ethnic groups.",0,1,0,
1950628,6/21,2,0.286,A two-tailed probability value of <0.05 was considered statistically significant. The **data** were processed using MedCalc Software version 12.2.1 and SPSS version 20.0.,0,1,0,
11966391,1/38,1,0.026,"The outcome of the study is in the form of **data** relevant for design of a real-world dwelling that has the capacity to generate variable spaces with affective dimensions in order to support minimalist lifestyles for young professionals. The major contribution of this study lies in its definition of virtual reality (VR) as a viable evaluation platform for new architectural concepts where variable design parameters can be adapted to create experiential spaces with emotional or psychophysiological qualities. Such **data** could have real-world implications in decisionmaking processes for architects, builders, interior designers and clients, as well as facilitate better communication in terms of time and resources.",0,1,0,
14118817,7/25,1,0.28,"Nanoscale liquid chromatography coupled to electrospray ionization Fourier transform ion cyclotron mass spectrometry (FTICR MS) was performed on an Agilent 1100 nanoflow system (Agilent Technologies, Santa Clara, CA, USA) hyphenated to a LCQ-FT 7.0 (Thermo Scientific). A volume of 5 mL from the reconstituted SCX fraction was injected automatically and loaded onto a C18 PicoFrit column (75 mm ID/15 mm tip ID, New-Objective, Woburn, MA) packed directly inside the electrospray needle tip using specially designed nanospray emitter tips. A water/formic acid (FA)/acetonitrile (ACN) solvent system was used where solvent A was 0.1% FA and solvent B was 100% ACN, 0.1% FA. Gradient elution was performed: 0% B for 10 min, 0% B to 50% B for 100 min, 50% B to 90% B for 5 min, 90%B for 5 min. Peptide elution was followed by ESI FTICR MS and tandem mass spectrometry (MS/MS) for peptide sequencing. A fullscan spectrum was acquired at high resolution (FWHM = 100000) using the FT analyzer. Data dependant acquisition was applied for MSMS precursor selection, where the 5 most intense mass peaks were subjected to subsequent isolation and collisioninduced fragmentation in the ion trap. Annotated fragment spectra were subjected to a database containing sequences of known rat neuropeptides (SwePep peptides, 245 peptide entries, www.swepep.org,) and neuropeptide precursor proteins (Swepep precursor, 123 protein entries) using the Mascot search engine (v 2.2, matrixscience, London, UK). For peptide identification the search was made with the following specifications: no enzyme specificity; 10 ppm precursor tolerance and 1.2 Da fragment tolerance; no fixed modifications; variable modifications: C-term. amidation, deamidation, oxidation (M); precursor charges: 2+ and 3+; instrument: ESI trap. Peptide matches with a score above the confidence threshold (p,0.05) were considered to be a significant hit. The false positive identification rate (FPR) was estimated by searching the **data** against a decoy database, where the FPR threshold was set to ,1%.",0,1,0,
221940057,4/9,1,0.444,Phylogenetic **dataset**s are published with this article. Supplementary figures (Figs. S1-S32) and tables are in the Supplementary Information file. The raw CT slice **data** are deposited at MorphoSource.org at https ://www.morph osour ce.org/Detai l/Proje ctDet ail/Show/proje ct_id/1066. The **dataset** from 14 was downloaded from the electronic version of that publication at Nature.com. The **dataset** from 15 is in the in-text appendix of that publication.,1,0,0,"datasets are published with this article, data are deposited at , The dataset was downloaded from, The dataset is in the in-text appendix"
149805890,4/14,1,0.286,"At the initial stage we worked out with two preliminary inspection i.e. to decided how accurate the **data** items and the person is taken in accordance with the model for ideal measurements. The magnitude of the ideal suitability is determined by the value of the measurement range in the MNSQ OUTFIT 0.5 -1.5 logit. The 20 items of NMPQ indicated that the average value for the entire item of 1.00 logit. This indicates that all the items are in good shape for the measurement. Related information the results of the estimation of misfit items can be accessed via a link https://osf.io/6hmuv/. Unfortunately, at the person level we found that of 520 respondents (person) who filling in NMPQ there are 170 respondents indicated misfit. Person misfit in this research is a person did not give the correct answers, or inconsistent, and/or not serious when the NMPQ was administered. Thus, only a 350-person can be considered in this study (ideal to measurements) and we did not give a 170-person for inclusion in this study. Detailed information related the misfit respondents can be accessed via the link https://osf.io/h3npe/.",0,1,0,
58646123,10/26,2,0.385,"Malnutrition continues to place a great burden on human health and development in Sub-Saharan Africa now and in the foreseeable future. The potential economic opportunities in reverting malnutrition are huge. But, solid information on cost and benefits of the various policy options, and how these differ, across regions and countries remain scarce. In filling this gap, this study made a contribution to better understand the potential for using agronomic fortification to revert malnutrition. Even though we argue that our approach provides realistic and robust insights into the potential of agronomic fortification, it remains second-best to urgently needed on the ground experimental approaches. Hence, the results from this study point to areas-high population density and low micronutrient densities-that most likely harbour the greatest potential for using agricultural fortification as a means to combat malnutrition. Such locations should be targeted first with actual field trials in which micronutrient enriched fertilizers are distributed and impact on both agricultural productivity and health indicators are monitored. Moreover, combining such trials with **data** collection on actual food consumption will allow for a better understanding on the precise causal channel through which changes in malnutrition may come about.",0,1,0,
3423303,10/22,1,0.455,"Circular dichroism (CD). Far-UV CD spectra were obtained using a Jasco J-810 spectropolarimeter (Jasco Inc., Easton, MD, USA) over the wavelength range from 195 to 250 nm, at 25˚C. Measurements were performed in a 1 cm quartz cuvette at a rate of 100 nm/min, bandwidth of 1 nm, response time of 2 s, **data** pitch of 1 nm, and accumulation of 10 as described [37]. CD **data** are shown as the mean residue ellipticity (deg cm 2 /dmol) obtained after subtracting the baseline, smoothing, and **data** normalization. CD spectra for OsttaDSP (0.1-0.5 mg/ml) were recorded in 20 mM K-phosphate buffer, pH 7.4.",0,1,0,
18862159,10/20,1,0.5,"In the seawater control, the behaviour of L. branchialis before and after the water was replaced in the arena was not significantly different (P >0·05 for all parameters) and consequently the **data** were grouped together to define normal behaviour. Mean distance travelled was 31·1 ± 23·4 cm in 3 min with a velocity of 1·74 ± 1·31 cm s − 1 . A high turn rate of 71·62 ± 46·7 degrees s − 1 was observed, resulting in a number of relatively complex path shapes, giving a mean fractal dimension of 1·38 ± 0·31.",0,1,0,
149639803,9/19,1,0.474,"Internal consistency and factor structures of the questionnaire measures were explored to ensure that the **data** were consistent with previous findings [30,34,38]. These analyses were performed on samples 1-3 separately to consider the replicability of these findings and on the total sample for completeness. Internal consistency was calculated using Cronbach's alpha. The factor structure of the RS and DEBQRE were explored using principal components analysis with varimax rotation in accordance with previous research [27,30,34,38]. Factors were extracted based on having eigenvalues greater than 1.",0,1,0,
92451959,3/21,1,0.143,"We used GPS location **data** to detect active den sites. Putative active dens were first identified by examinations of collared wolf locations that were geographically focused in a restricted area during the period of time previously identified as the parturition period (between the last week of April and the second week of May; Person and Russell 2009). We also visited den sites 3-6 weeks after suspected parturition to verify pup production by visual observation. We approached sites on foot in groups of 1-3 people and recorded observations of wolves when they were seen or heard. We searched the area around the den entrances for signs of fresh wolf scat, hair, scrapings or other sign. We observed the den for wolf pups but limited our time in the area to < 1 h to avoid excessive disturbance of breeding wolves. Despite these efforts, 3 wolf packs relocated their pups to a nearby den (<0.5 km) during the study period. In 2 of these cases, additional visits were made by agency employees to the den after our field visits to observe pups, and in one case low-level helicopter flights for logging activities began immediately before the relocation event (Roffler et al. unpubl.). Person and Russell (2009) also reported a low number of relocations in response to human visits to den sites. In addition, we annually visited 26 dens previously recorded by Person and Russell (2009) during 1995 the same timing and techniques to make observations of wolves at historic dens.",0,1,0,
250239249,34/35,1,0.971,"Table 2 .
 2Percentages of secondary structures (ss) of the cysteines that form intra-or intermolecular disulfide bonds. Secondary structures were assigned with DSSP or Stride. Disulfide bonds were identified with the FIND or the GREP methods. Only **data** with percentages of observations larger than 5% (in any combination DSSP/Stride or FIND/GREP) are shown. Estimated standard errors are in parentheses.ss",,,,
250670380,6/21,1,0.286,"Accordingly to the classification of deserts by U.S Geological Survey (U.S.G.S), Thar is a monsoon desert region. As monsoons cross India in late June/July, it loses moisture on the eastern slopes of the Aravali range. Hence the rains are scanty, though there are bouts of heavy rains, but the rainy days are few. Average rainfall within study area varies from 127.93 mm (approx.) per year, to 280.14 mm (approx.) per year. Further, analysis of rainfall **data** from in past century indicates a drought once in every 2-3 years along with flood situation in monsoon due to heavy rainfall in short spells. (Refer fig. 3)",0,1,0,
149805890,1/14,1,0.071,"Information collection related cases of NoMoPhobia in different places in the world have a lot determined, especially in Turkey [14], Spain [15], Mysore [16], Italy [17], dan Pakistan [17]. Unfortunately, the information of the case of NoMoPhobia in Indonesia have not been actually identified. It is caused by instrument to securing the valid **data** related NoMoPhobia is not yet available in Indonesia. Several instruments to measure NoMoPhobia or the like has been established, and is quite popular such as NoMoPhobia Questionnaire (NMPQ) [10], [14], Smartphone Application-Based Addiction Scale (SABAS) [18].",0,1,0,
210938004,6/14,1,0.429,Clinical and demographic **data** were compared across cohort subdivisions using analysis of variance (ANOVA) for continuous outcomes and chi square tests for discrete outcomes (Table 1).,0,1,0,
248757902,5/11,1,0.455,The **data** generated in the present study are also presented in Table SIII.,1,0,0,The data generated in the present study are also presented in
10434448,9/15,1,0.6,"Participants. Two hundred and sixty-six healthy college students (146 females, mean age in sample is 21.2 years; standard deviation (SD) is 1.1 years; range is 18.4-24.8 years) were recruited for the RAPM test and MRI scanning (i.e., rs-fMRI and structural MRI). All participants were right-handed, implying that a potential ""handedness effect"" on brain organization was avoided. The **data** from six participants were not analyzed due to head motions exceeding 2.0° in rotation or 2.0 mm in translation. The collection of MRI **data** for our present study was part of a larger project that aimed at exploring the neural correlates of human cognition under the interaction between 'nature' and 'nurture' [46][47][48][49][50] . All MRI studies related to this larger project were approved by the Institutional Review Board of Beijing Normal University (BNU), Beijing, China, and written consent was obtained from each participant.",0,1,0,
158170257,5/15,1,0.333,"Two models were estimated, each applying nominal and real exchange rates. Both models adopted the panel-corrected standard errors (PCSE) linear regression method proposed by Beck and Katz [41]. The method takes into account the first-order panel autocorrelation, panel-level heteroskedastic errors, and errors contemporaneously correlated across panels. In this regard, the null hypothesis that there is no first-order autocorrelation was rejected in the Wooldridge test for panel **data** [42]. A Fisher-type panel unit root test that can be applied to unbalanced panels was performed, and the results rejected the null hypothesis that all panels contain a unit root for all variables (Table 3). Since the estimation results of the two models are not significantly different, we focused on the results of the nominal exchange rate model. Time effects are not presented, but almost all are significant, reflecting the shocks common to all countries at some point in time such as Chile's production cuts in around 2010. The three null hypotheses that all countries have the same effect, all the exchange rate effects are zero, and all the tariff rate effects are zero were all rejected at the 10% significance level (Table 4). Therefore, it can be said that country-specific markups were apparent in some importing countries. Table 4. Results of joint significance test.",0,1,0,
139789072,4/16,1,0.25,"The NIRS instrument used in this study is the CvSU InGaAs-based NIR instrument. This instrument is a patent pending, NIRS instrument developed by engineers, scientists and professors from Cavite State University that is based on Indium Gallium and Arsenic (InGaAs) NIRS sensor. It can obtain the absorbance **data** in the range of 950 to 1684 nm. The technique used in this study is the single seed NIR spectra acquisition as described in [43], where a single bean is placed in the scanner of CvSU In GaAs-based NIR instrument. The instrument was allowed to warm-up for a period of at least 30 minutes so that the light output and electronics related to spectrometer would stabilize prior to spectra collection. After warming up the instrument, the spectral precision for the two groups of sample was determined. This was done by scanning ten different samples (re-loaded group) of civet coffee and the tenth sample scanned for another ten times (non-reloaded group).",0,1,0,
