text,sentiment,corpusid,section,subsection,corpusid_unique,,coll_sent,gold_label,jso,jz,jl,cw,ac,Ambiguous
"(3) Digital elevation model (DEM), which was downloaded from the Geospatial Data Cloud Available online: http://www.gscloud.cn/ (accessed on 26 April 2020). In the above data, the DEM data, with a resolution of 30 m, can be extracted into slope and elevation. (4) The highway, the primary road and railroad **data** procured from OpenStreetMap Available online: http://www.openstreetmap.org (accessed on 13 July 2020). The population density **data** was provided by Landscan Available online: https://landscan.ornl.gov/ (accessed on 18 December 2020). (5) The 1000 m Normalized Difference Vegetation Index (NDVI) **data** and 30 m land use and land cover change (LUCC) **data** were obtained from the Data Centre for Resources and Environmental Sciences, Chinese Academy of Sciences (RESDC) Available online: http://www.resdc.cn (accessed on 26 April 2020). NDVI and LUCC **data** were obtained by remote sensing image processing. NDVI **data** was based on inversion of SPOT/VEGETATION and MODIS satellite remote sensing and LUCC **data** was generated by manual visual interpretation based on Landsat 8 remote sensing images. (6) China Nature Reserve, the earthquake and landslide vector **data** acquired from RESDC. China Nature Reserve are surface vector data, the rest are point vector data.",yes,237649489,2/49,2,237649489_2/49_2,,1,1,1,1,1,1,1,
"River discharge **data** for the Tully River were obtained from the Queensland Bureau of Meteorology (http://www.bom.gov. au). No long-term in situ salinity **data** are available from King Reef; therefore, **data** from the Carton-Giese Simple Ocean Data Assimilation (SODA) reanalysis project were chosen as a longterm monthly resolution SSS dataset. This consists of a combination of observed and modeled **data** (Carton et al., 2000). Data were obtained from the box centered on 17.5°S (17.25°-17.75°) and 146°E (145.75°-146.25°). SODA version 1.4.2 extends from 1958 to 2001 and uses surface wind products from the European Center for Medium-Range Weather Forecasts 40-year reanalysis (ECMWF ERA 40), which may contain inaccuracies in tropical regions (Cahyarini et al., 2008). The most recent version of SODA (1.4.3) now uses wind **data** from the Quick-Scat scatterometer, thus providing more accurate **data** for the tropics (Cahyarini et al., 2008;Carton and Giese, 2008 ",yes,53478339,9/24,2,53478339_9/24_2,,1,0,1,1,1,1,1,
"Author
Contributions: Conceptualization, C.L. and B.I.; methodology, C.L. and B.I.; software, C.L., and B.I.; validation, C.L., and B.I.; C.L. and B.I.; formal analysis, investigation, resources, and **data** curation, C.L.; writing-original draft preparation, C.L.; writing-review and editing, B.I.; visualization, C.L.; supervision, B.I. and F.L.; project administration and funding acquisition, A.A.-M. All authors have read and agreed to the published version of the manuscript.
",yes,245105154,23/25,1,245105154_23/25_1,,0,0,0,0,0,0,0,
":
Conceptualization, M.A.K. and M.A.; methodology, M.A.K.; software, M.I.; validation, M.A.K., A.A. (Abdullah Alshememry), A.A. (Aws Alshamsan) and M.I.; formal analysis, M.A.K.; investigation, M.I.; resources, M.A.K and M.A.; **data** curation, M.A.K. and M.I.; writingoriginal draft preparation, M.A.K.; writing-review and editing, A.A. (Aws Alshamsan) and A.A. (Abdullah Alshememry); visualization, M.A.K.; supervision, A.A. (Aws Alshamsan); project administration, M.A.K., A.A. (Aws Alshamsan) and M.A.; funding acquisition, M.A.K., M.A. and A.A. (Aws Alshamsan). All authors have read and agreed to the published version of the manuscript. Funding: This project was funded by the National Plan for Science, Technology and Innovation (MAARIFAH), King Abdulaziz City for Science and Technology, Kingdom of Saudi Arabia, Award Number (2-17-03-001-0035).
",yes,250031081,64/65,1,250031081_64/65_1,,0,0,0,0,0,0,0,
"We use the dates of the declaration of COVID-19 as a global pandemic (March 11, 2020) and of the announcements of the effectiveness of the Pfizer-BioNTech (November 9, 2020), Moderna (November 16, 2020) and AstraZeneca (November 23, 2020) 1 vaccines in the US as event dates to compute abnormal returns (ARs). The **data** used in the event study was collected from different sources. Airline stock returns were obtained from Datastream and computed using the total return index.",yes,251711372,111/119,1,251711372_111/119_1,,0,0,0,0,0,0,0,
"Contributors KM, M-JS, BRH, CMS and MO'B contributed to the study concept, study design and interpretation of data, and provided critical review and revision of the manuscript for intellectual content. MO'B provided support in identifying and contacting potential interview participants in primary care. KM collected the survey and interview data. KM, CMS, MO'B and M-JS conducted **data** analysis. KM, M-JS, BRH, CMS and MO'B also provided their final approval of this publication and agree to be accountable for all aspects of the work to ensure both accuracy and integrity of this research. M-JS is the guarantor of this study, who accepts full responsibility for the work, had access to the **data** and controlled the decision to publish. Disclaimer CIHR played no role in the project.",yes,251843619,69/73,2,251843619_69/73_2,,0,0,0,0,0,0,0,
"Having a more widespread phenomenological analysis, case studies and relational researches will help us understand ideas of communication skills, self-esteem and attitude towards the teaching profession among music teaching students with a more detailed **data** acquisition and analysis. Also, with more specialized titles related to the topic, like for instance how Hughes [46] had had sub-topics like questioning abilities when analyzing communication skills, a more detailed contribution can be made to the field.
",yes,150086221,13/16,1,150086221_13/16_1,,0,0,0,0,0,0,0,
"Statistical data: The statistical **data** include average annual rainfall (2018), average annual temperature (2018), number of days with wind and sand wind speed ≥10 m/s (2018), annual evaporation (2018), groundwater mineralization and groundwater burial depth. Meteorological **data** were mainly obtained from 22 meteorological stations around the Three Gorges Reservoir area by the Chinese Meteorological Science Data Sharing Service Available online: http://data.cma.cn/site/index.html (accessed on 17 January 2020). According to each weather station, the inverse distance interpolation (IDW) method of ArcGIS was used to convert meteorological statistics into a raster image of meteorological **data** in the study area. Groundwater mineralization and groundwater depth of burial **data** were obtained by querying the statistical yearbooks of different districts and counties in the Three Gorges Reservoir area.",yes,237649489,2/49,3,237649489_2/49_3,,1,0,1,1,0,1,1,
"Author
Contributions: Conceptualization, Z.K.; methodology, Z.K. and E.I.; software, N.A.; validation, Z.K., E.I. and N.A.; formal analysis, Z.K.; investigation, Z.K. and E.I.; resources, N.A.; **data** curation, Z.K. and N.A.; writing-original draft preparation, Z.K., E.I. and N.A.; writing-review and editing, N.A.; supervision, N.A.; project administration, N.A. All authors have read and agreed to the published version of the manuscript. Funding: This research received no external funding.
",yes,240460078,35/40,1,240460078_35/40_1,,0,0,0,0,0,0,0,
"Author
Contributions: Conceptualization, M.R.S.; R.K.; methodology, M.R.S.; R.K.; software, M.R.S.; validation, M.R.S.; R.K.; formal analysis, M.R.S.; investigation, M.R.S.; resources, M.R.S.; **data** curation, M.R.S.; writing-original draft preparation, M.R.S.; writing-review and editing, R.K.; visualization, M.R.S.; All authors have read and agreed to the published version of the manuscript.
",yes,233438695,56/62,1,233438695_56/62_1,,0,0,0,0,0,0,0,
"Our **data** set is the earthquake catalog maintained by the Japan Meteorological Agency. We used earthquakes having M ≥ 0 since 2000 with depths shallower than 25 km within the study region.  used earthquakes until immediately before the Kumamoto earthquakes for their analysis, while we used them until 11 March 2019.",yes,202192488,2/8,1,202192488_2/8_1,,1,0,1,1,1,0,1,
"All samples taken from various researchers during the ten years of exposure are documented in the excavation database; most are displayed in the profile sketches of H€ andel et al. (2014). High-resolution **data** of MS (Hambach, 2010) and numerous luminescence ages (Lomax et al., 2014) derive from an almost 8 m thick section at North Profile 2005e6 (Fig. 2AeD). The South Profile 2005e7/10e11 on the opposite site of the excavation was very close to the double infant burial (Fig. 2B;Einw€ ogerer et al., 2006), but did not expose the lower 2 m of the LPS (H€ andel et al., 2014). From this profile,  published field descriptions and results of sedimentological and geochemical analyses from each visible GH. In the two deep trenches to the bedrock that were dug in 2009 and 2013/2014 (Fig. 2EþF), the horizons beneath GH 28 were labelled GH 50e62 (61 ¼ gravel, 62 ¼ bedrock) in sounding DE98-100 (West Profile, 2009e11) and GH 80e90 (89 ¼ gravel, 90 ¼ bedrock) in sounding AB94-95 accessible to us in autumn 2013, which was extended by 1 m to both east and north in 2014 (sounding A-C94-96).",yes,224886410,3/35,1,224886410_3/35_1,,0,0,0,1,0,0,1,
"Since the authors have proposed and verified that human capital accumulation promoted GTP [8] and pointed out in the introduction that the CW-regions had comparative advantages in human capital, this paper further proposes proposition 1: the comparative advantage of human capital in the CW-regions of China has prompted these regions to choose GTP more. If the CW-regions choose GTP more between the two technologies, according to the above analysis in this section, we can further put forward proposition 2: the CW-regions of China will gain the backwardness advantage of green development for choosing GTP more. If the above assumptions are confirmed, it will be of great significance for alleviating the contradiction between economic catch-up and environmental protection for underdeveloped regions in China, and it will also have important significance for the economic transformation and sustainable development of other developing countries. This paper uses sys-GMM estimation and panel **data** from 29 provinces as well as regional panel **data** in China from 1995 to 2017 to conduct an empirical test. This research will further enrich the theory of sustainable development and the theory of backwardness advantage, which is a new work.",yes,237856376,3/27,1,237856376_3/27_1,,0,0,0,0,0,0,0,
"There are no conflicts of interest by any of the authors of this manuscript. All authors have made substantial contributions to the manuscript in study design, **data** collection, analysis or interpretation designing of the study, drafting and revising the manuscript. The final submission has been approved by all the authors.  ",yes,232422537,6/7,1,232422537_6/7_1,,0,0,0,0,0,0,0,
"Author
Contributions: Conceptualization, R.B.O., G.Z., K.I.S. and D.M.; methodology, G.Z., D.Z.-D. and R.G.; software, K.I.S. and A.I.U.; validation, G.Z., U.Ç., A.K. and S.D.; formal analysis, G.Z.; investigation, R.B.O., G.Z., K.I.S., D.M., D.Z.-D. and R.G.; resources, U.Ç.; **data** curation, R.B.O., G.Z. and S.D.; writing-original draft preparation, R.B.O., G.Z., K.I.S., D.M., D.Z.-D., R.G., S.J. and M.F.M.; writing-review and editing, G.Z., S.D. and M.F.M.; visualization, A.K.; supervision, G.Z.; project administration, G.Z.; funding acquisition, D.M. All authors have read and agreed to the published version of the manuscript.
",yes,251482760,38/43,1,251482760_38/43_1,,0,0,0,0,0,0,0,
"This study used **data** from 16 stations in Punjab, Pakistan, to assess the climate vulnerability. The Climate Forecast System Reanalysis (CSFR) **data** were used in this research. Daily **data** from 1979 to 2014 for 16 stations were downloaded from the Global Weather **data** for SWAT (https://globalweather.tamu.edu/, last access: 10 September 2014) website. It was used to investigate the long-run variability in the seasonal and annual maximum, minimum, and mean temperature, precipitation, and relative humidity. The studied stations are located in various irrigation zones of Punjab, Pakistan, and daily **data** for 5 variables were used in the current study, as shown in Table 3. We selected these 16 stations due to their popularity and the completeness of records based on their spatio-temporal coverage, history, and uniformity. The considered seasons are described as follows: winter (December, January, February (DJF)), spring (March, April, May (MAM)), summer (June, July, August (JJA)), and autumn (September, October, November (SON)) [49]. ",yes,237733208,10/51,1,237733208_10/51_1,,1,0,1,1,1,1,1,
"YY contributed to the conception, **data** curation, formal analysis, and manuscript writing and editing. ZH contributed to the conception and revision of the manuscript. JL contributed to the review and revision of the manuscript. YW contributed to the editing of the manuscript. MX contributed to the editing and revision of the manuscript. All authors contributed to the article and approved the submitted version. 
",yes,249932676,27/33,1,249932676_27/33_1,,0,0,0,0,0,0,0,
"We use the dates of the declaration of COVID-19 as a global pandemic (March 11, 2020) and of the announcements of the effectiveness of the Pfizer-BioNTech (November 9, 2020), Moderna (November 16, 2020) and AstraZeneca (November 23, 2020) 1 vaccines in the US as event dates to compute abnormal returns (ARs). The **data** used in the event study was collected from different sources. Airline stock returns were obtained from Datastream and computed using the total return index.",yes,251711372,71/119,1,251711372_71/119_1,,0,0,0,0,0,0,0,
"We use the dates of the declaration of COVID-19 as a global pandemic (March 11, 2020) and of the announcements of the effectiveness of the Pfizer-BioNTech (November 9, 2020), Moderna (November 16, 2020) and AstraZeneca (November 23, 2020) 1 vaccines in the US as event dates to compute abnormal returns (ARs). The **data** used in the event study was collected from different sources. Airline stock returns were obtained from Datastream and computed using the total return index.",yes,251711372,31/119,1,251711372_31/119_1,,0,0,0,0,0,0,0,
"The remainder of this paper is organized as follows. Section 2 reviews the relevant literature. Section 3 provides the testable research hypotheses. Section 4 presents the **data** and the event study methodology. In Section 5, we present and discuss our main findings. Section 6 concludes the paper.",yes,251711372,21/119,1,251711372_21/119_1,,0,0,0,1,0,0,0,
"**data** source: any system providing retrieval mechanisms (usually, an API) to access **data** related to software development: source code management, issue tracking, code review, synchronous or asynchronous communication, testing, collaborative documentation writing, Q/A forums, etc. Examples of a **data** source are a Git server, a Bugzilla instance, a Mailman archive, or some Slack instance. kind of **data** source: all **data** sources with the same retrieval API. Examples of kinds of **data** sources are ""Git"", ""Bugzilla"", ""Mailman"", or ""Slack"". repository: a part of a **data** source, usually corresponding to the **data** managed for a certain project. Examples of repositories are a Git repository, a Bugzilla issue tracker, a mailing list archive in a Mailman instance, or a Slack channel. index: all **data** corresponding to a certain kind of **data** source, as it is stored in the GrimoireLab database. Indexes may be raw, with **data** as similar as possible to the one provided by the **data** sources, or enriched, which are tailored to easy visualization and reporting.",yes,236196766,2/47,2,236196766_2/47_2,,0,0,0,0,0,0,1,
"Fully annotated microarray **data** has been deposited in ArrayExpress (E-MTAB-162).
",yes,10465400,23/65,2,10465400_23/65_2,,1,0,1,1,1,1,0,
"In phenomenological estimates (see Refs. [23,24] and references therein), the enhancement of the intrinsic nuclear Schiff moment, Ŝ , is predicted to scale with the quadrupole β 2 and the square of the octupole β 3 deformations, as well as inversely with the energy difference ∆E P D between the parity doublet Table 1 Data for selected odd-mass nuclei in the A ≈ 224 mass region exhibiting parity-doublet candidates. The table presents the isotope, its halflife T 1/2,gs , spin and parity of the ground state J π 0 , energy difference to the lowest-lying possible parity-doublet partner ∆E P D , and the lifetime T 1/2,ul of the upper level. Data are taken from the NNDC **data** base [27] and Ref. [28].",yes,253708011,1/6,2,253708011_1/6_2,,,0,1,1,1,1,1,
"Cystic fibrosis is a hereditary disease that affects the mucus glands of the lungs, liver, pancreas, and intestines, causing progressive disability due to multisystem failure. The CFTR gene, found in Chromosome 7, is the cause of cystic fibrosis, where mutations result in proteins that are too short because of premature end to production. We have been analyzing **data** on cystic fibrosis for the School of Medicine, Medical College of Georgia, and because of confidentiality issues we cannot present these **data** in this paper. Although these **data** are very sparse with only a few individuals reported cystic fibrosis in southern Georgia, our **data** set has the same structure as one that has been used repeatedly in the literature. Table 1 gives a set of **data** on cystic fibrosis, which was presented by Crow [3] to illustrate the need to take account of the method of ascertainment in segregation analysis. One can countthe total number of offspring to be 269, the total number of affected offspring to be 124, and the total number of probands to be 90. Thus, one might estimate the segregation ratio to be 124/269 = .4610, and the ascertainment probability to be 90/124 = .7258. Again, these simple estimates are too inflated. Note that 46.1% is far in excess of the 25% expected on simple recessive inheritance (cystic fibrosis is autosomal recessive). One reason for the excess is the ascertainment bias -the exclusion of families where the parents are heterozygous, but fail to have a homozygous recessive child. These would add to the number of normal children and thereby reduce the proportion affected. This **data** set was also used in [4] for illustration.",yes,29602952,1/19,1,29602952_1/19_1,,,0,1,1,1,1,1,
"Figure 8 .
8Temperature records from (a) mid-Holocene Sr/Ca derived record from KR-AMA-2, (b) modern microatoll KR-MMA-1 Sr/Ca record, and (c) instrumental **data** obtained from Mourilyan Harbour in situ **data** logger (http://www.aims.gov.au). Temperature values given are the mean of each dataset, with gray shading indicating the 95% confidence interval of the mean.",yes,53478339,24/24,1,53478339_24/24_1,,,0,1,1,1,1,1,
"
) and laser-off (trials) as well as the respective indifference point for each condition. (B), Transitivity plots are shown for the blocked (left) and patent (right) fiber types. Transitivity measures represent the consistency of food pellet preferences across six sessions in which animals experienced each of the possible pairs of three pellets (A-C,A-B,B-C) for both fiber-type conditions. Stable and consistent preferences should be in accordance with the relation: IP A:C » IP A:B Â IP B:C which can be visualized in the scatterplots as points falling close to the identity line. The Y-and X-axes show the IP, in log scale, for the pellet pair with the largest preference difference, IP A:C , and the product of the IPs from the other two pairs (IP A:B Â IP B:C ). The within-session pairs of laser-on trials (yellow symbols) and laser-off trials (grey symbols) are indicated by a dark grey line connecting the scatterplot pairs. Histograms comparing laser-on and -off trials are shown in the background for each of the plots. The six sessions shown in (A) are marked with a red outline on the respective scatter points in (B) Data is provided in Supplementary file 3 andFigure 5-source **data** 1. (C) The distances between within-session pairs (the lengths of the grey lines connecting the scatterplot pairs in (B) plotted as the cumulative empirical distribution function for each of the fiber-type conditions (blocked: yellow, patent: brown). For **data** seeFigure 5-source **data** 1. DOI: https://doi.org/10.7554/eLife.38963.011The following source **data** is available for figure 5:Source **data** 1. Text File Containing the Source Data forFigure 5with the Same Layout as in Supplementary file 3. DOI: https://doi.org/10.7554/eLife.38963.012
",yes,52910603,25/27,1,52910603_25/27_1,,,0,1,1,1,1,1,
"Several Docker container images are also provided to run pre-configured versions of GrimoireLab, with all services already pre-installed. They can produce complete dashboards, with raw and enriched **data** for all repositories, just by running the container with the appropriate configuration data. They can also be used with official container images for services, via docker-compose (see the companion dataset, described in Section ""A companion package and other information"", for an example of running the toolset this way, including configuration files). Docker images for GrimoireLab are stored in DockerHub, so that they can be recovered later (for any GrimoireLab release). They are also produced from Dockerfile configuration files, publicly available from GrimoireLab repositories.",yes,236196766,24/47,1,236196766_24/47_1,,,0,0,0,0,0,0,
"In order to compare between diet and guano datasets, Principle Component Analysis (PCA) was undertaken using R function prcomp using default settings [32]. PCA plots comparing principle component 1 (PC1) and principle component 2 (PC2) for the diet dataset and the guano dataset were created using R and **data** was coloured by 1) species, 2) dietary guild and 3) size of bat. To assign dietary guilds, diets as determined from the literature (S2 Table, Fig 1) were sorted using complete-linkage clustering using the hclust package in R, to group diets by the average composition for each species. This allowed us to delimit the **data** into 7 dietary guilds (M. alcathoe was excluded from later analysis, so was not assigned to a guild. To assign size categories, the minimum and maximum weight for each bat species were gathered from the Bat Conservation Trust (http://www.bats.org.uk/pages/uk_bats.html#Resident) and plotted to visualise size groupings (please see S1 Fig).",yes,215725489,7/13,1,215725489_7/13_1,,,0,0,1,0,0,0,
"We make the geolocation and detours detection **data** available to the community via a public RESTful API interface. The motivation to do so is as follows. 1) Network operators can easily query our database and check if their prefix suffered a detour. 2) Internet measurement researchers can use this information to study various BGP anomalies such as route leaks, detecting malicious ASes, etc. Our results on AS and prefix geolocation are available at http://geoinfo.bgpmon.io and detours results can be accessed at http://detours. bgpmon.io.",yes,5803875,29/49,1,5803875_29/49_1,,,0,1,1,1,1,1,
"Data collection. We started with the manually collected and annotated dataset of 300 websites described in Soe et al. (2020). The dataset of the Soe et al. (2020) is available on https://github.com/videoworkflow/cookiepopup. We split this dataset and use it in training and testing. This **data** set describes the cookie banners that were encountered in each of the visited websites. Each website was visited on a browser running on a laptop computer in an Incognito mode by a reviewer who recorded information about the websites containing cookie banners. All websites were news outlets, in English or in a Scandinavian language.",yes,248392338,6/27,1,248392338_6/27_1,,,0,1,1,1,1,1,
"NAISC-L **data** is stored in a relational database (RDB) and is uplifted to RDF using R2RML, a W3C Recommendation used to express mappings from RDBs to RDF (Das et al. 2012). NAISC-L's Knowledge Organisation, detailed in Sect. 4.4.1, consists of three named graphs-an interlink graph, a provenance graph and a relationship graph. The **data** for each graph are uplifted to RDF using a separate R2RML mapping. These mappings were created using the JUMA mapping tool (Crotti et al. 2018). The graphs can be viewed and downloaded in different RDF serialisation formats. The graphs can also be explored via interactive visualisations generated using GoJS. 16 The interlinking framework should facilitate the creaƟon of idenƟty and relaƟonship links.",yes,246337567,17/70,1,246337567_17/70_1,,,0,1,1,0,0,0,
"Interesting trends were observed by investigating the distribution of intra-and intermolecular DBs in the seven types of enzymes (Table 3; disaggregated **data** for each of the 14 subsets of protein structures examined in the present paper are given in the Supplementary Materials, Table S6). Table 3. Average percentages (estimated standard deviations in parentheses) of various types of proteins (non-enzyme and the seven types of enzymes) that contain both intra-and intermolecular disulfide bonds (Both), only intramolecular disulfide bonds (Intra-only) or only intermolecular disulfide bonds (Inter-only). Disulfide bonds are identified with the FIND or with the GREP method. About 40-50% of the proteins that contain DBs-only intramolecular, only intermolecular or both-are enzymes, and nearly all of them are hydrolases when intramolecular DBs are present; when there are only intermolecular-and no intramolecular-DBs, different types of enzymes can be observed-mainly oxidoreductases, transferases and hydrolases but also, with lower frequency, lyases, isomerases and ligases.",yes,250239249,20/35,1,250239249_20/35_1,,,0,1,1,1,1,1,
"The **data** presented in this study are available on request from the corresponding authors.
",yes,243822900,15/24,1,243822900_15/24_1,,,0,1,1,1,1,1,
"EBL cells after M. bovis treatment with 50 MOI were collected for total RNA extraction and transcriptome analysis. In brief, cellular total RNAs were isolated using the Trizol reagent (Takara, Dalian, China). Qualified total RNA was further purified by an RNeasy mini kit (Qiagen, GmBH, Hilden, Germany). The mRNAs were enriched using the Oligo(dT) beads and then were fragmented and reverse transcribed into cDNA. The cDNA Library quality was checked using a Bioanalyzer2100 (Agilent, Santa Clara, CA, USA). The cDNAs were purified with QiaQuick PCR extraction kit (Qiagen, GmBH, Germany), end repaired, poly(A) added and ligated to Illumina sequencing adapters. The ligation products were size selected by agarose gel electrophoresis, PCR amplified and sequenced using Illumina HiSeq 2500 by Gene Denovo Biotechnology (Guangzhou, China). The random reads were mapped to nucleotide database Bos taurus (GCF_002263795.1_ARS-UCD1.2_genomic). The gene expression level was calculated by using the RPKM method (Reads Per kb per Million reads). FDR (False-Discovery Rate) is a method to determine the threshold of p-value. All **data** analyses were supported by Denovo Biotechnology (Guangzhou, China). Data were submitted to the gene expression omnibus (GEO) archive. The accession number is SUB12077437.",yes,253536255,5/31,1,253536255_5/31_1,,,0,1,1,1,1,1,
Phylogenetic **dataset**s are published with this article. Supplementary figures (Figs. S1-S32) and tables are in the Supplementary Information file. The raw CT slice **data** are deposited at MorphoSource.org at https ://www.morph osour ce.org/Detai l/Proje ctDet ail/Show/proje ct_id/1066. The **dataset** from 14 was downloaded from the electronic version of that publication at Nature.com. The **dataset** from 15 is in the in-text appendix of that publication.,yes,221940057,4/9,1,221940057_4/9_1,,,0,1,1,1,1,1,
